Managing [ocac]
Climacteric [orgf]
HRT [topp]
Taken [cnce]
Sufficient [qlco]
Duration [tmco]
occurrence [ftcn]
Osteoporosis [dsyn]
Cardiovascular disease [dsyn]
Possibly [qlco]
Incidence [qnco]
Severity [qlco]
Often [tmco]
Only [qnco]
prescribed [hlca]
Women [popg]
request [ftcn]
To [qlco]
relieve [ftcn]
Climacteric [orgf]
symptoms [ftcn]
Physicians [prog]
Only [qnco]
Limited period [tmco]
Time [tmco]
Willing [fndg]
Women [popg]
Long-term [tmco]
prevention strategy [inpr]
Uptake [phsf]
HRT [topp]
Lower [spco]
Prescription [hlca]
Rate [acty]
Medication [phsu]
Often [tmco]
Abandoned [qlco]
side effects [ftcn]
lack [qlco]
Motivation [menp]
HRT [topp]
Often [tmco]
Abandoned [qlco]
Fear [menp]
Cancer [neop]
Physicians [prog]
Aware [menp]
effects [qlco]
HRT [topp]
Often [tmco]
Time [tmco]
Inform [aapp, imft, phsu]
Patients [podg]
effects [qlco]
Reduced [qlco]
Incidence [qnco]
Known [qlco]
HRT side-effects [fndg]
Risk [qlco]
Breast Cancer [neop]
Thromboembolic disease [dsyn]
HRT [topp]
Prescription [hlca]
Women [popg]
Need [qlco]
To [qlco]
Informed [qlco]
Potential [qlco]
Risks [qlco]
Physician [prog]
Surveys [inpr]
Show [inpr]
Women [popg]
feel [menp]
Receive [qlco]
Insufficient [qlco]
Information [idcn]
Physician [prog]
Quality [qlco]
Relationship [qlco]
Physician [prog]
Probably [idcn]
Large [qnco]
influential [idcn]
HRT [topp]
Very [qlco]
studies [lbpr]
Conduct [inbe]
To [qlco]
Assess [acty]
Factor [ftcn]
Prescription [hlca]
Rate [acty]
HRT [topp]
Simple [qlco]
strategies [menp]
Most [qnco]
effective [qlco]
One [qnco]
listening [menp]
Patients [podg]
Fears [menp]
complaints [fndg]
Question [inpr]
Time [tmco]
Answer [inpr]
Role [socb]
Practice nurse [prog]
setting [ftcn]
Very [qlco]
