Recognition [menp]
treatment [ftcn]
Venous malformation [anab]
Rectum [bpoc]
Venous malformation [anab]
Rectum [bpoc]
Uncommon [qlco]
lesions [fndg]
Present [qnco]
Complex [qlco]
Management [ocac]
Problems [idcn]
majority [socb]
lesions [fndg]
Present [qnco]
Rectal bleeding [patf]
Infancy [tmco]
Childhood [tmco]
Cases [ftcn]
treated [topp]
Colitis [dsyn]
Correct [qlco]
Diagnosis [fndg]
Make [ftcn]
Correct [qlco]
Diagnosis [fndg]
Based [ftcn]
Gross [qlco]
Appearance [orga]
confirmed [qlco]
Plain radiography [diap]
Angiography [diap]
Hero [euka]
surgical intervention [fndg]
Only [qnco]
Repeatedly [ftcn]
Reported [inpr]
Cure [cnce]
Literature [inpr]
One [qnco]
Reported [inpr]
Well [qlco]
Sclerosis [patf]
Hemorrhoidal [bpoc]
Vein [bpoc]
Surgery [bmod]
Intermittent [tmco]
Transrectal [spco]
Sclerotherapy [topp]
APPEAR [qlco]
To [qlco]
Long-term [tmco]
Success [socb]
radiation therapy [inpr]
Report [inpr]
Four [qnco]
New [tmco]
Cases [ftcn]
Venous malformation [anab]
Rectum [bpoc]
Result [ftcn]
Date [tmco]
New [tmco]
Therapeutic [topp]
Option [ftcn]
Ethanol [orch]
Sclerotherapy [topp]
Two [qnco]
Patients [podg]
Discussion [topp]
alternate [ftcn]
Methods [inpr]
treatment [ftcn]
included [ftcn]
