Analysis [lbpr]
Marital [fndg]
Health [idcn]
Problems [idcn]
Interaction [ftcn]
This [euka]
Article [inpr]
Review [inpr]
Evidence [ftcn]
Relationship [qlco]
Types [qlco]
Marital [fndg]
variables [qlco]
Marital Status [grpa]
Marital [fndg]
Adjustment [inbe]
Marital [fndg]
Interaction [ftcn]
Health [idcn]
Problems [idcn]
aetiology [ftcn]
Course [tmco]
outcome treatment [qlco]
Effect [qlco]
Health [idcn]
Problems [idcn]
Marriage [fndg]
Mechanisms [ftcn]
Responsible [fndg]
Associations [menp]
Evaluated [ftcn]
Evidence [ftcn]
Suggest [idcn]
Marital [fndg]
variables [qlco]
Affect [menp]
Health Status [qlco]
Effect [qlco]
Indirect [qlco]
Non-specific [qlco]
Major [qlco]
explanatory [inpr]
Model [inpr]
Stress [fndg]
Social support [socb]
Hypothesis [idcn]
Provided [acty]
Broad [spco]
Conceptual [cnce]
Hypothesis [idcn]
Result [ftcn]
Review [inpr]
Suggest [idcn]
Sufficient [qlco]
Evidence [ftcn]
Exist [cnce]
Researchers [prog]
Focus [spco]
Specific [qlco]
Explanations [inpr]
Model [inpr]
Presented [idcn]
Includes [ftcn]
Interpersonal [qlco]
Psychological [ftcn]
Physiological [ftcn]
variables [qlco]
This [euka]
Model [inpr]
Intended [qlco]
Exploration [topp]
summary [inpr]
Available [ftcn]
Evidence [ftcn]
