CARDIOVASCULAR [bdsy]
sequelae [patf]
radiation therapy [inpr]
radiotherapy [inpr]
One [qnco]
Main [qlco]
Therapeutic [topp]
Options [ftcn]
Malignancy [neop]
treatment [ftcn]
radiotherapy [inpr]
Not [ftcn]
free [ftcn]
side effects [ftcn]
Including [ftcn]
Increased [qnco]
Risk [qlco]
Secondary Neoplasm [neop]
organs [bpoc]
Injury [inpo]
cardiovascular complications [patf]
Second [qnco]
Frequent [tmco]
Fatal [qlco]
Post [tmco]
radiotherapy [inpr]
sequelae [patf]
Physicians [prog]
Aware [menp]
Readiness [fndg]
diagnose [fndg]
Early [tmco]
Cure [cnce]
This [euka]
Review [inpr]
Aim [idcn]
To [qlco]
Epidemiology [bmod]
pathogenesis [ftcn]
Clinical [qlco]
Dose [qnco]
Correlated [qlco]
manifestations [ftcn]
radiotherapy [inpr]
Induced [ftcn]
Cardiovascular disease [dsyn]
Future [tmco]
Screening [hlca]
Prevention [topp]
treatment [ftcn]
Provided [acty]
