Role [socb]
Surgical [hlca]
Loading [acty]
To [qlco]
PREVENT [phsu]
Recurrent [tmco]
ulcerations [patf]
Foot [bpoc]
Patients [podg]
Diabetes [dsyn]
Common [qnco]
Ulcers [patf]
heal [orgf]
treatment [ftcn]
Recurrence [phpr]
Common [qnco]
Pathway [moft]
Ulcer [patf]
development [phsf]
Includes [ftcn]
Neuropathy [dsyn]
Deformity [cgab]
trauma [inpo]
First [qnco]
Attempt [evnt]
To [qlco]
Recurrence [phpr]
Shoes [mnob]
Shoes [mnob]
fail [ftcn]
Surgical [hlca]
CORRECTION [inpr]
Deformity [cgab]
Leading [tmco]
Ulcer [patf]
Attempt [evnt]
This [euka]
Article [inpr]
Review [inpr]
Most [qnco]
common procedures [topp]
Performed [ftcn]
heal [orgf]
Ulcers [patf]
Recurrence [phpr]
