Pre-existing conditions [clna]
CARDIOVASCULAR [bdsy]
High altitude [npop]
travel [dora]
Persons [popg]
Visit [bhvr]
High altitude [npop]
Region [geoa]
Various [irda]
purposes [ftcn]
Recreation [dora]
Business [ocac]
etc. [idcn]
Age [orga]
People [popg]
SO [geoa]
increases [ftcn]
More [ftcn]
More [ftcn]
Patients [podg]
Need [qlco]
Specific [qlco]
Individual [popg]
Advice to [hlca]
PREVENT [phsu]
emergency situations [phpr]
Altitude [qnco]
To [qlco]
emergencies [phpr]
Safety [hcpp]
strategy [menp]
fail [ftcn]
Literature [inpr]
Concern [idcn]
Diseases [dsyn]
Altitude [qnco]
Study [mnob]
Controlled [ftcn]
setting [ftcn]
High [qlco]
evidence level [fndg]
Missing [idcn]
Checked [acty]
Available [ftcn]
Literature [inpr]
Specific [qlco]
Information [idcn]
enable [menp]
Physicians [prog]
Active [ftcn]
travel [dora]
High altitude [npop]
Medicine [phsu]
Patients [podg]
Highest [qlco]
Possible [qlco]
Level [qlco]
Evidence [ftcn]
Point [qnco]
Out [spco]
Several [qnco]
Medical [ftcn]
Information [idcn]
Mandatory [ftcn]
g% [qnco]
Occupational Medicine [bmod]
employees [ftcn]
Depart [acty]
High altitude [npop]
Destination [spco]
Business [ocac]
purposes [ftcn]
recommendations [idcn]
Based [ftcn]
Detailed [qlco]
Literature [inpr]
Databases [inpr]
Handbooks [inpr]
Reference [idcn]
Easy [qlco]
Paper [mnob]
Structure [spco]
follow [tmco]
General [spco]
Information [idcn]
System [ftcn]
ECG NOS [diap]
Altitude [qnco]
Several [qnco]
Diseases [dsyn]
Specific [qlco]
recommendations [idcn]
conclude [bodm, orch]
General [spco]
GO [gngm]
State [geoa]
Art [ocdi]
Advice [hlca]
Patients [podg]
Information [idcn]
Presented [idcn]
trip [phpr]
Altitude [qnco]
Possible [qlco]
Patients [podg]
[c] [qnco]
LTD [ortf]
Rights [qlco]
Reserve [acty]
