Salvage Therapy [topp]
Small prostate [fndg]
Cancer [neop]
Nodal [spco]
failures [ftcn]
Review [inpr]
Literature [inpr]
New [tmco]
imaging modalities [ftcn]
Prostate Cancer [neop]
Patients [podg]
Small [qnco]
Limited [ftcn]
Nodal [spco]
Relapse [phpr]
Oligo [nnon]
Recurrent [tmco]
Local [spco]
Treatments [topp]
radiotherapy [inpr]
Surgery [bmod]
Aim [idcn]
Long-term [tmco]
Control [grup]
Disease [dsyn]
condition [dsyn]
considered [idcn]
Unfavorable [qlco]
This [euka]
Report [inpr]
Review [inpr]
New [tmco]
Diagnostic [fndg]
Tool [mnob]
Main [qlco]
Published [ocac]
Data [idcn]
Role [socb]
Surgery [bmod]
radiation therapy [inpr]
subgroup [virs]
Patients [podg]
[c] [qnco]
Ireland [geoa]
LTD [ortf]
Rights [qlco]
Reserve [acty]
