Nucleotide [nnon]
Enzymes [enzy, orch]
Platelets [cell]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Patients [podg]
treated [topp]
Conisation [diap]
radiotherapy [inpr]
Background [cnce]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Malignancy [neop]
Sometimes [tmco]
Associated [qlco]
Thrombosis [patf]
Membrane [tisu]
bound [spco]
Enzymes [enzy, orch]
Adenine Nucleotides [bacs, nnon, phsu]
Extracellular [celc]
Medium [inpr]
sense [ortf]
Aim [idcn]
To [qlco]
investigate [ftcn]
activity [dora]
Patients [podg]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Methods [inpr]
Evaluated [ftcn]
Patients [podg]
treated [topp]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Conisation [diap]
radiotherapy [inpr]
RTX [orch, phsu]
Patients [podg]
divided [ftcn]
Four [qnco]
Group [idcn]
Two [qnco]
Conisation [diap]
Group [idcn]
I- [inch]
Two [qnco]
RTX [orch, phsu]
Group [idcn]
III [inpr]
Further [spco]
divided [ftcn]
Based [ftcn]
Amount [qnco]
Time [tmco]
Passed [fndg]
Conclusion [idcn]
treatment [ftcn]
Group [idcn]
land [mnob]
III [inpr]
Extended [ftcn]
Remission [fndg]
Group [idcn]
Patients [podg]
Elapsed [tmco]
Conclusion [idcn]
treatment [ftcn]
Group [idcn]
Recently [tmco]
treated [topp]
Patients [podg]
treated [topp]
Three [qnco]
months [tmco]
Result [ftcn]
Conisation [diap]
RTX [orch, phsu]
Group [idcn]
ADP [lbpr]
Hydrolysis [npop]
Decreased [qnco]
Extended [ftcn]
Remission [fndg]
Group [idcn]
Compared [acty]
Control [grup]
Recently [tmco]
treated [topp]
Group [idcn]
Hand [bpoc]
Hydrolysis [npop]
Decreased [qnco]
treated [topp]
Group [idcn]
Conisation [diap]
RTX [orch, phsu]
Compared [acty]
Control [grup]
Expression [topp]
Decreased [qnco]
Extended [ftcn]
Remission [fndg]
Group [idcn]
I- [inch]
III [inpr]
Compared [acty]
Group [idcn]
Conclusions [idcn]
Platelet aggregation [celf]
More [ftcn]
Involved [ftcn]
Control [grup]
adenosine formation [moft]
[c] [qnco]
SAS [orch]
Rights [qlco]
Reserve [acty]
