Conceptual [cnce]
Glossary [inpr]
Epidemiology [bmod]
This [euka]
Construct [clas]
Process [bpoc]
Central [spco]
Theory [idcn]
Epidemiological [bmod]
Inquiry [acty]
Humans [humn]
simultaneously [tmco]
Social [ftcn]
Biological [bmod]
Organisms [orgm]
Advance [medd]
Three [qnco]
Critical [qlco]
bodies [humn]
Story [geoa]
Study [mnob]
Divorced [fndg]
condition [dsyn]
bodies [humn]
Story [geoa]
Often [tmco]
Not Stated [mnob]
Always [tmco]
match [resa]
People [popg]
account [idcn]
bodies [humn]
Story [geoa]
People [popg]
Not [ftcn]
Unable [fndg]
Choose [acty]
Not [ftcn]
Dead [orgf]
Bones [bpoc]
Forensic Pathology [bmod]
Historical [idcn]
Anthropometry [resa]
Living [idcn]
bodies [humn]
Story [geoa]
lives [fndg]
Not [ftcn]
This [euka]
Glossary [inpr]
concepts [idcn]
definition [idcn]
Hypothesis [idcn]
Relevant [qlco]
Using [ftcn]
Construct [clas]
Epidemiology Research [resa]
SO [geoa]
Promote [acty]
Not [ftcn]
Only [qnco]
Rigor [sosy]
Science [ocdi]
Social Equity [qlco]
Health [idcn]
