Evolution [genf]
Cost [qnco]
trends [tmco]
Antihypertensive [phsu]
Hypolipidemic Drugs [phsu]
treatment [ftcn]
France [geoa]
Purpose [ftcn]
To [qlco]
Assess [acty]
trends [tmco]
Cost [qnco]
Cardiovascular disease [dsyn]
Prevention [topp]
France [geoa]
Methods [inpr]
population survey [resa]
Conduct [inbe]
Two [qnco]
French [popg]
Region [geoa]
Northern [spco]
Southwestern [spco]
France [geoa]
Individual [popg]
Costs [qnco]
Antihypertensive [phsu]
Hypolipidemic Drugs [phsu]
treatment [ftcn]
Established [qlco]
Subject [grup]
First [qnco]
Last [qlco]
Survey [inpr]
account [idcn]
Inflation [qnco]
Rate [acty]
Different [qlco]
Daily Dose [qnco]
Result [ftcn]
Correct [qlco]
Inflation [qnco]
Minimum [qlco]
Maximum [qnco]
Daily [tmco]
Cost [qnco]
Antihypertensive [phsu]
treatment [ftcn]
Stable [qlco]
Decreased [qnco]
Gender [orga]
Minimum [qlco]
Daily [tmco]
Cost [qnco]
Hypolipidemic Drugs [phsu]
Stable [qlco]
Maximum [qnco]
Costs [qnco]
Increased [qnco]
Gender [orga]
This [euka]
Further [spco]
Aggravated [fndg]
doubling [ftcn]
Subject [grup]
Hypolipidemic Drugs [phsu]
treatment [ftcn]
Surveys [inpr]
Conclusions [idcn]
Individual [popg]
Daily [tmco]
Cost [qnco]
Antihypertensive [phsu]
treatment [ftcn]
Decreased [qnco]
Cost [qnco]
treatment [ftcn]
Increased [qnco]
High [qlco]
Subject [grup]
Hypolipidemic Drugs [phsu]
therapy [ftcn]
Further [spco]
Increased [qnco]
national [inpr]
Expenditure [qnco]
Class [inpr]
Drugs [phsu]
