Inhibition [menp]
PREVENT [phsu]
CRC [neop]
Bed [mnob]
Side [spco]
Cancer [neop]
Predicted [idcn]
To [qlco]
Leading [tmco]
Death [orgf]
Heart disease [dsyn]
End [spco]
Decade [qnco]
Colorectal Cancer [neop]
Major [qlco]
Health [idcn]
Concern [idcn]
More [ftcn]
New [tmco]
Cases [ftcn]
Expected [idcn]
deaths [orgf]
Evidence [ftcn]
Suggest [idcn]
Link [inpr]
Consumption [acty]
NSAIDs [phsu]
CRC [neop]
Prevention [topp]
Consumption [acty]
NSAIDs [phsu]
Not [ftcn]
Problem [fndg]
free [ftcn]
deaths [orgf]
NSAIDs [phsu]
Equal [qlco]
deaths [orgf]
AIDS [dsyn]
Leukaemia [neop]
Chemoprevention [topp]
CRC [neop]
Possible [qlco]
Drugs [phsu]
More [ftcn]
Acceptable [qlco]
Side Effect [patf]
Profile [lbpr]
Currently [tmco]
Available [ftcn]
NSAIDs [phsu]
Required [ftcn]
Since [tmco]
polyps [anab]
Colonic Tumor [neop]
Humans [humn]
Over [spco]
Ideal [qlco]
Drug [phsu]
CRC [neop]
Prevention [topp]
treatment [ftcn]
