Genetics [bmod]
Obesity [dsyn]
Prediction [idcn]
Risk [qlco]
Health [idcn]
Obesity [dsyn]
Always [tmco]
Exist [cnce]
Human [humn]
Population [qnco]
Very [qlco]
Recently [tmco]
Rare [tmco]
Availability [ftcn]
Abundant [qlco]
Energy [fndg]
Rich food [food]
Processed [phpr]
Last [qlco]
Decade [qnco]
Result [ftcn]
Sharp [fndg]
Prevalence [qnco]
Obesity [dsyn]
Countries [geoa]
Environment [spco]
Result [ftcn]
Major [qlco]
Health Care [hlca]
Problem [fndg]
ACT [topp]
revealing [qlco]
Sub- [spco]
Population [qnco]
Pre-existing [qlco]
Genetic Predisposition [orga]
Excess [qlco]
adiposity [dsyn]
Evidence [ftcn]
Heritable [ftcn]
Obesity [dsyn]
Rare [tmco]
Common [qnco]
forms [qlco]
Obesity [dsyn]
Identified [qlco]
Genes [gngm]
Roles [socb]
aetiology [ftcn]
Application [hlca]
Understanding [menp]
patient care [hlca]
Slow [qlco]
Very [qlco]
Recently [tmco]
Health [idcn]
Risk [qlco]
Obesity [dsyn]
Thought [menp]
To [qlco]
Well [qlco]
Understand [menp]
Straightforward [qlco]
Correlation [qlco]
Increasing [ftcn]
Obesity [dsyn]
Increasing [ftcn]
Risk [qlco]
Health [idcn]
Problems [idcn]
coronary heart disease [dsyn]
Hypertension [dsyn]
Arthritis [dsyn]
Cancer [neop]
Clear [qlco]
Location [spco]
Deposition [ftcn]
Variation [qlco]
secretion [biof]
Adipokines [aapp, bacs]
Factor [ftcn]
Obese [dsyn]
Person [popg]
Complications [patf]
Prediction [idcn]
Health [idcn]
Risk [qlco]
Obesity [dsyn]
Individual [popg]
Patients [podg]
Not [ftcn]
Straightforward [qlco]
Continuing [idcn]
Advance [medd]
Understanding [menp]
GENETIC [topp]
Factor [ftcn]
Obesity [dsyn]
Risk [qlco]
Improved [qlco]
Diagnostic [fndg]
technologies [ocdi]
Mean [qnco]
Future [tmco]
Prediction [idcn]
Bright [fndg]
