Association [menp]
socioeconomic [cnce]
Position [spco]
Revascularisation [topp]
procedures [inpr]
Five [qnco]
Survival [acty]
Recovery [acty]
acute [tmco]
Myocardial [spco]
Infarction [patf]
Background [cnce]
Patients [podg]
Living [idcn]
Better [qlco]
socioeconomic [cnce]
Often [tmco]
Receive [qlco]
More [ftcn]
Active Treatment [topp]
Acute myocardial infarction [dsyn]
Compared [acty]
To [qlco]
affluent [qlco]
Patients [podg]
Previous [tmco]
studies [lbpr]
Performed [ftcn]
Countries [geoa]
Comprehensive [qlco]
coverage [idcn]
medical services [hlca]
Swedish [popg]
Nation [orgt]
Wide [spco]
Longitudinal Study [resa]
Wanted [fndg]
To [qlco]
Evaluate [ftcn]
Long-term [tmco]
Survival [acty]
socioeconomic [cnce]
Position [spco]
Revascularisation [topp]
Methods [inpr]
Swedish [popg]
Myocardial Infarction [dsyn]
Identified [qlco]
Old [tmco]
Patients [podg]
Women [popg]
Men [popg]
Alive [idcn]
days [tmco]
First [qnco]
Obtained [ftcn]
Detailed [qlco]
Information [idcn]
Revascularisation [topp]
Cumulative [qlco]
Household income [fndg]
Censuses [qnco]
Survival [acty]
Result [ftcn]
Patients [podg]
Highest [qlco]
Cumulative [qlco]
Income [qnco]
ADD [mobd]
Values [qlco]
Quartile [qlco]
Categories [inpr]
Income [qnco]
Revascularisation [topp]
Procedure [diap, topp]
One [qnco]
month [tmco]
First [qnco]
Two [qnco]
Three [qnco]
times [tmco]
Often [tmco]
Patients [podg]
Low Income [grpa]
Cumulative [qlco]
Half [qnco]
Risk [qlco]
Death [orgf]
Five [qnco]
socioeconomic differences [fndg]
Revascularisation [topp]
procedures [inpr]
Not [ftcn]
co-morbidity [idcn]
Type [qlco]
Hospital [hcro, mnob]
First [qnco]
admission [hlca]
Patients [podg]
Revascularisation [topp]
Show [inpr]
Similar [qlco]
lowered [spco]
Mortality [qnco]
Risk [qlco]
Different [qlco]
Income [qnco]
Group [idcn]
Strong [qlco]
socioeconomic differences [fndg]
Long-term [tmco]
Mortality [qnco]
Patients [podg]
Not [ftcn]
Revascularisation [topp]
Conclusion [idcn]
This [euka]
Swedish [popg]
Study [mnob]
Show [inpr]
Patients [podg]
High [qlco]
Income [qnco]
Better [qlco]
Long-term [tmco]
Survival [acty]
Recovery [acty]
Compared [acty]
Patients [podg]
Low Income [grpa]
Revascularisation [topp]
procedures [inpr]
low [qlco]
SEP [gngm]
Group [idcn]
Receive [qlco]
Often [tmco]
High [qlco]
SEP [gngm]
Group [idcn]
