Single [popg]
Center [spco]
Long-term [tmco]
Study [mnob]
Spinal [spco]
Dural Arteriovenous Fistulas [anab]
Multidisciplinary [ocac]
treatment [ftcn]
Spinal [spco]
Dural Arteriovenous Fistulas [anab]
Most [qnco]
Frequently [tmco]
Occur [acty]
Vascular Malformations [anab]
Spinal Cord [bpoc]
Optimal [qlco]
treatment [ftcn]
Analyzed [resa]
Consecutive [qlco]
Patients [podg]
treated [topp]
endovascular [blor]
Embolisation [topp]
considered [idcn]
First [qnco]
treatment option [topp]
Nine [qnco]
Patients [podg]
TEN [dsyn]
Patients [podg]
Not [ftcn]
Fulfill [idcn]
endovascular [blor]
Indications [idcn]
Surgery [bmod]
Four [qnco]
Patients [podg]
Required [ftcn]
Second [qnco]
treatment [ftcn]
Surgery [bmod]
Three [qnco]
Following [tmco]
Failed [ftcn]
Embolisation [topp]
One [qnco]
Following [tmco]
Surgery [bmod]
Clinical [qlco]
Outcome [ftcn]
Assessed [acty]
Using [ftcn]
Disability [fndg]
Scale [medd]
Mean [qnco]
Follow-up [fndg]
Time [tmco]
months [tmco]
Range [qnco]
months [tmco]
Follow-up [fndg]
Patients [podg]
Show [inpr]
Stabilisation [topp]
Improvement [cnce]
Overall [inpr]
Efficacy [qlco]
Embolisation [topp]
Compared [acty]
Surgery [bmod]
P NOS [aapp, imft]
Multidisciplinary [ocac]
treatment [ftcn]
Embolisation [topp]
Surgery [bmod]
Good [qlco]
Long-term [tmco]
Result [ftcn]
Embolisation [topp]
Not [ftcn]
Ensure [food]
Complete [qlco]
Closure [topp]
Venous [bpoc]
Side [spco]
Fistula [anab]
Surgery [bmod]
considered [idcn]
First [qnco]
treatment [ftcn]
Lower [spco]
Late [tmco]
Recurrence [phpr]
Rate [acty]
[c] [qnco]
LTD [ortf]
Rights [qlco]
Reserve [acty]
