Cross [cnce]
Cultural [idcn]
adaptation [orgf]
Content [menp]
Validation [resa]
Start [tmco]
Context [fndg]
Objective [inpr]
Non [ftcn]
treatment [ftcn]
Diseases [dsyn]
Clinical [qlco]
condition [dsyn]
considered [idcn]
To [qlco]
Care [acty]
Several [qnco]
Countries [geoa]
Aim [idcn]
Present [qnco]
Study [mnob]
To [qlco]
adaptation [orgf]
Screening [hlca]
Tool [mnob]
alert [fndg]
doctors [prog]
Right [spco]
treatment [ftcn]
Start [tmco]
brazilian [fndg]
Portuguese [popg]
To [qlco]
Tool [mnob]
Content [menp]
Design [acty]
setting [ftcn]
Cultural [idcn]
adaptation [orgf]
Validation [resa]
Start [tmco]
criteria [inpr]
Using [ftcn]
Delphi Technique [resa]
Consensus [socb]
Method [inpr]
Start [tmco]
translated [ocac]
Original [idcn]
Language [lang]
brazilian [fndg]
Portuguese [popg]
Back [blor]
Translation [inpr]
Validation [resa]
Modified [ftcn]
Delphi Technique [resa]
Electronic [mnob]
Form [qlco]
Sent [ftcn]
To [qlco]
Likert scale [inpr]
Assess [acty]
Statement [idcn]
included [ftcn]
Start [tmco]
Brazilian Real [qnco]
Statement [idcn]
Exhibit [inpr]
Mean score [qnco]
considered [idcn]
To [qlco]
Consensus [socb]
identities [menp]
Keep [ftcn]
confidentiality [idcn]
Validation [resa]
Process [bpoc]
Result [ftcn]
First [qnco]
Phase [tmco]
Validation [resa]
Process [bpoc]
Statement [idcn]
Start [tmco]
Consensus [socb]
Remaining [qlco]
Statement [idcn]
Return [qlco]
SO [geoa]
Review [inpr]
Comments [inpr]
Statement [idcn]
To [qlco]
Assess [acty]
Based [ftcn]
Likert scale [inpr]
Early [tmco]
Phase [tmco]
Start [tmco]
Instrument [medd]
Consensus [socb]
Conclusion [idcn]
Content [menp]
Start [tmco]
Brazil [geoa]
Original [idcn]
criteria [inpr]
Maintained [ftcn]
