Duodenal Adenoma [dsyn]    
product [ocac]    
Massive [qlco]    
Mucus [bdsu]    
Report [inpr]    
Case [ftcn]    
Ultrasonography [diap]    
Find [ftcn]    
Duodenal Adenoma [dsyn]    
Massive [qlco]    
mucus production [celf]    
Very rare [fndg]    
Report [inpr]    
Case [ftcn]    
Ultrasonography [diap]    
Show [inpr]    
Presence [topp]    
Massive [qlco]    
Mucus [bdsu]    
Contrast [qlco]    
Enhance [acty]    
Ultrasonography [diap]    
reveal [qlco]    
Thickened [fndg]    
Wall [mnob]    
Enhance [acty]    
Suggest [idcn]    
Lesion [fndg]    
Same [qlco]    
Pathologic [bmod]    
Li+ [moft]    
Result [ftcn]    
confirm [qlco]    
Histologic [ftcn]    
Guide [prog]    
biopsied [diap]    
Contrast [qlco]    
Enhance [acty]    
Ultrasonography [diap]    
Help [socb]    
biopsied [diap]    
Point [qnco]    
Good [qlco]    
Diagnostic [fndg]    
strategies [menp]    
