Liver [bpoc]    
Biliary System [bpoc]    
Evaluable [ftcn]    
CT [gngm]    
Indicated [fndg]    
Evaluable [ftcn]    
suspect [idcn]    
Hepatic [blor]    
Biliary [ftcn]    
Pathologic [bmod]    
Recent [tmco]    
Introduction [hlca]    
CT [gngm]    
provides [food]    
Unique [qlco]    
Capability [qlco]    
Hepatic [blor]    
*Volume [qnco]    
Acquisition [acty]    
Combination [mnob]    
short [qlco]    
Scan [diap]    
Time [tmco]    
Narrow [qlco]    
Collimation [medd]    
Abilities [orga]    
Obtain [ftcn]    
Data [idcn]    
Feature [qlco]    
Result [ftcn]    
Improved [qlco]    
Lesion [fndg]    
detect [topp]    
Characterization [acty]    
1+ [qnco]    
Concomitant [tmco]    
Advance [medd]    
Make [ftcn]    
3-Dimensional [spco]    
3-D [spco]    
applicable [hlca]    
Ranges [qnco]    
Hepatic [blor]    
Image analysis [lbpr]    
Display [ftcn]    
This [euka]    
Article [inpr]    
Specific [qlco]    
Area [spco]    
Hepatic [blor]    
Biliary [ftcn]    
Pathologic [bmod]    
CT [gngm]    
Significance [qnco]    
Diagnostic [fndg]    
IMPACT [gngm]    
