progress [patf]    
Targeted Therapy [topp]    
Advance [qlco]    
Cholangiocarcinoma [neop]    
establish [qlco]    
Effect [qlco]    
Therapies [ftcn]    
Survival [acty]    
patient [podg]    
Advance [qlco]    
Cholangiocarcinoma [neop]    
Recent [tmco]    
development [phsf]    
Pathologic [bmod]    
research [resa]    
Cholangiocarcinoma [neop]    
LOT [inpr]    
Special [qlco]    
Marker [clna]    
Over [spco]    
Expression [topp]    
Mutate [genf]    
Cholangiocarcinoma [neop]    
patient [podg]    
Change [ftcn]    
Combination [mnob]    
Targeted Therapy [topp]    
Plus [qlco]    
Chemotherapies [topp]    
Now [tmco]    
Effect [qlco]    
Therapies [topp]    
Advance [qlco]    
Cholangiocarcinoma [neop]    
Aim [idcn]    
Paper [mnob]    
To [qlco]    
Recent [tmco]    
promise [idcn]    
studies [lbpr]    
Targeted Therapy [topp]    
Alone [qnco]    
Combination [qlco]    
Chemotherapies [topp]    
