experience [menp]    
Hemihyperplasia [cgab]    
surveillance [ftcn]    
Protocol [inpr]    
HEMIHYPERPLASIA, ISOLATED [dsyn]    
Two [qnco]    
Well [qlco]    
Known [qlco]    
Overgrowth [fndg]    
condition [dsyn]    
Associated [qlco]    
Cancer [neop]    
Predisposition [clna]    
Multiple [qnco]    
surveillance [ftcn]    
Protocol [inpr]    
proposal [idcn]    
To [qlco]    
detect [fndg]    
Most [qnco]    
Report types [inpr]    
Tumor [neop]    
Hepatoblastoma [neop]    
Review [inpr]    
Histories [ocdi]    
patient [podg]    
Part [spco]    
monitor [hlca]    
Protocol [inpr]    
informant [idcn]    
Case [ftcn]    
Collected [idcn]    
Control [grup]    
Sample [sbst]    
AFP measurement [lbpr]    
Obtain [ftcn]    
Five [qnco]    
/40 [tmco]    
patient [podg]    
Ultrasound [diap]    
Abnormal [fndg]    
Most [qnco]    
Frequent [tmco]    
Nephromegaly [fndg]    
size [spco]    
discrepancies [fndg]    
Two [qnco]    
patient [podg]    
Well [qlco]    
document [hlca]    
Case [ftcn]    
Tumor [neop]    
Tumour [neop]    
Precursor [idcn]    
+2 [qnco]    
<3 [qnco]    
detect [fndg]    
Ultrasound [diap]    
Image [inpr]    
Three [qnco]    
Six [qnco]    
Separate [spco]    
Values [qlco]    
Available [ftcn]    
Values [qlco]    
ng/mL [qnco]    
Seen [qlco]    
Three [qnco]    
patient [podg]    
Old [tmco]    
2 Months [tmco]    
One [qnco]    
Hepatoblastoma [neop]    
Two [qnco]    
Hemangiomas [neop]    
Hemangioendotheliomas [neop]    
Clear [qlco]    
*Difference [qnco]    
Ranges [qnco]    
Values [qlco]    
Report [inpr]    
Control [grup]    
Normal [qlco]    
Population [qnco]    
affect patients [qlco]    
Conclusion [idcn]    
Ultrasound [diap]    
surveillance [ftcn]    
detect [fndg]    
Renal [bpoc]    
Liver [bpoc]    
Pathologic [bmod]    
include [ftcn]    
Benign [qlco]    
malignancies [qlco]    
Lesion [fndg]    
Known [qlco]    
Variability [cnce]    
normal neonate [fndg]    
patient [podg]    
Make [ftcn]    
interpret [inpr]    
Difficult [qlco]    
Early [tmco]    
Infancy [tmco]    
Very high [fndg]    
Values [qlco]    
To [qlco]    
Correlated [qlco]    
Risk [qlco]    
Identifiable [qlco]    
lesion liver [fndg]    
Determinant [lbpr]    
Natural [ftcn]    
Change [ftcn]    
Level [qlco]    
Time [tmco]    
allow [socb]    
More [ftcn]    
Appropriate [qlco]    
Comparison [acty]    
[c] [qnco]    
LISS [lbpr]    
