Hepatic [blor]    
Aim [idcn]    
Paper [mnob]    
Accurate [qlco]    
Histologic [ftcn]    
Description [idcn]    
Liver [bpoc]    
Lesion [fndg]    
Bead [bodm]    
Tumor [neop]    
Relate [orch]    
Subject [grup]    
Case [ftcn]    
less [inpr]    
Individual [popg]    
Lesion [fndg]    
Neoplasia [neop]    
Malformation [cgab]    
regenerate [ortf]    
Hyperplasia [patf]    
Indifferent [qlco]    
Master [qlco]    
Term [tmco]    
introduce [ftcn]    
base [ftcn]    
Characterization [acty]    
Cellular [cell]    
Multiple [qnco]    
Common [qnco]    
practice [menp]    
Survey [inpr]    
Mesenchymal [qlco]    
Angiomatous [qlco]    
Non [ftcn]    
Angiomatous [qlco]    
Epithelial [qlco]    
Hepatocellular [qlco]    
Type [qlco]    
Differential [celf]    
phenomenology [idcn]    
One [qnco]    
Meaning [cnce]    
Identical [qlco]    
Statement [idcn]    
Definite [idcn]    
subgroup [virs]    
mostly [idcn]    
Adhere [fndg]    
Current [tmco]    
Usage [ftcn]    
Only [qnco]    
Occasional [tmco]    
Group [idcn]    
Endothelial [tisu]    
Tumor [neop]    
Novel [tmco]    
Term [tmco]    
Employ [fndg]    
coordinate [phsf]    
Overall [inpr]    
System [ftcn]    
