development [phsf]    
communes [geoa]    
base [ftcn]    
Approach [spco]    
Opisthorchiasis [dsyn]    
Control [grup]    
Liver Fluke [euka]    
Opisthorchis [euka]    
Major [qlco]    
cause [ftcn]    
High [qlco]    
Incidence [qnco]    
Cholangiocarcinoma [neop]    
North [spco]    
Eastern [spco]    
Thailand [geoa]    
Prevalence [qnco]    
Opisthorchis [euka]    
Infection, NOS [dsyn]    
High [qlco]    
Various [irda]    
Part [spco]    
Countries [geoa]    
Wetland [npop]    
rural area [spco]    
Large [qnco]    
Proportion [qnco]    
communes [geoa]    
Work [ocac]    
Agriculture [ocdi]    
Continual [idcn]    
Tradition [ftcn]    
practice [menp]    
Eat [orgf]    
R AW [ortf]    
Fish Products [food]    
Nation [inpr]    
Control [grup]    
Program [cnce]    
To [qlco]    
IMPACT [gngm]    
Area [spco]    
Difficult [qlco]    
Make [ftcn]    
Precise [phsu]    
Assess [hlca]    
Overall [inpr]    
Effect [qlco]    
Program [cnce]    
Need [qlco]    
communes [geoa]    
base [ftcn]    
Approach [spco]    
PREVENT [phsu]    
Infection, NOS [dsyn]    
Parasite [euka]    
Involved [ftcn]    
Possible [qlco]    
document [inpr]    
Attempt [evnt]    
Assess [acty]    
Best [qlco]    
Meaning [cnce]    
PREVENT [topp]    
communes [geoa]    
intervention [hlca]    
Three [qnco]    
Village [geoa]    
North [spco]    
East [spco]    
Thailand [geoa]    
Participant [ftcn]    
Represent [acty]    
Health Promotion [hlca]    
Public Health [bmod]    
Dedications [acty]    
Staff [prog]    
School Teachers [prog]    
Independence [idcn]    
Government [orgt]    
Sponsor [humn]    
Village [geoa]    
Healthy Volunteers [popg]    
housewives [prog]    
Response [fndg]    
cooked [dora]    
Diet [food]    
Action [ftcn]    
PLAN [dsyn]    
followed [tmco]    
Allowance [socb]    
Detail [qlco]    
Discussion [topp]    
proposal [idcn]    
Introduction [hlca]    
Then [tmco]    
Repeat [ftcn]    
reflect [menp]    
Further [spco]    
proposal [idcn]    
Individual [popg]    
Village [geoa]    
Level [qlco]    
