Epidemiologic [bmod]    
Hepatoblastoma [neop]    
cause [ftcn]    
Hepatoblastoma [neop]    
Identifiable [qlco]    
Extreme [qlco]    
Rare [tmco]    
Disease [dsyn]    
Inheritance [ftcn]    
condition [dsyn]    
include [ftcn]    
Familial Adenomatous Polyposis [neop]    
Syndrome [dsyn]    
Risk [qlco]    
Hepatoblastoma [neop]    
account [idcn]    
Few [qnco]    
Case [ftcn]    
Overall [inpr]    
Small [qnco]    
*Number [qnco]    
studies [mnob]    
investigate [ftcn]    
Risk factor [qnco]    
Sporadic [tmco]    
Hepatoblastoma [neop]    
Conduct [inbe]    
Date [tmco]    
Most [qnco]    
studies [lbpr]    
Feature [qlco]    
Few [qnco]    
Case [ftcn]    
Several [qnco]    
Most [qnco]    
Fold [spco]    
Increase [qnco]    
Risk [qlco]    
Hepatoblastoma [neop]    
Children [aggp]    
Very Low Birth Weight [sosy]    
1+ [qnco]    
g% [qnco]    
Double [ftcn]    
Risk [qlco]    
With [qlco]    
Moderate [qlco]    
Low birth weight [podg]    
1+ [qnco]    
g% [qnco]    
Evidence [ftcn]    
Point [qnco]    
Possible [qlco]    
Role [socb]    
parent [famg]    
Tobacco use NOS [fndg]    
Pregnancies [orgf]    
Causation [idcn]    
Hepatoblastoma [neop]    
Well [qlco]    
blood cancer [neop]    
[c] [qnco]    
