Single [popg]    
HCC [neop]    
Smaller [qlco]    
+2 [qnco]    
surgeries [bmod]    
Ablation [topp]    
intervention [topp]    
Oncologist [prog]    
Guideline [inpr]    
Hepatic [blor]    
resect [topp]    
consider [idcn]    
First [qnco]    
Option [ftcn]    
patient [podg]    
Stage 0 [inpr]    
Very [qlco]    
Early [tmco]    
HCC [neop]    
This [euka]    
Statement [idcn]    
Not [ftcn]    
base [ftcn]    
Therapies [topp]    
Oncologic [bmod]    
Hepatic [blor]    
resect [topp]    
Better [qlco]    
Obtain [ftcn]    
Complete [qlco]    
Tumor [neop]    
Ablation [topp]    
include [ftcn]    
Safeties [hcpp]    
Margin [spco]    
Three [qnco]    
Compare [acty]    
Percutaneous [spco]    
radiofrequency ablation [topp]    
Hepatic [blor]    
resect [topp]    
patient [podg]    
Early [tmco]    
HCC [neop]    
fail [ftcn]    
To [qlco]    
Better [qlco]    
Survival [acty]    
Hepatic [blor]    
resect [topp]    
larger [qnco]    
size [spco]    
Early Stage [clas]    
Need [qlco]    
larger [qnco]    
Area [geoa]    
Necrosis [ortf]    
Recent [tmco]    
studies [mnob]    
Focused [spco]    
On [ftcn]    
Stage 0 [inpr]    
sustain [ftcn]    
Local [spco]    
Complete Response [fndg]    
radiofrequency ablation [topp]    
Hepatic [blor]    
resect [topp]    
Trial [resa]    
establish [qlco]    
radiofrequency ablation [topp]    
less [inpr]    
Invasion [qlco]    
Associated [qlco]    
Lower [spco]    
complicate [patf]    
Rate [acty]    
Lower [spco]    
Cost [qnco]    
Data [idcn]    
Suggest [idcn]    
radiofrequency ablation [topp]    
consider [idcn]    
First [qnco]    
Option [ftcn]    
Operable [qlco]    
patient [podg]    
Very [qlco]    
Early [tmco]    
HCC [neop]    
Option [ftcn]    
Hepatic [blor]    
resect [topp]    
pei [inpr]    
used [fndg]    
Salvage Therapy [topp]    
Few [qnco]    
Case [ftcn]    
radiofrequency ablation [topp]    
Unsuccessful [qlco]    
