Utilities [orgt]    
Contrast [qlco]    
Enhance [acty]    
Ultrasound [diap]    
diagnose [fndg]    
Macroscopic [qlco]    
Type [qlco]    
Small [qnco]    
Nodular [qlco]    
Hepatocellular carcinoma [neop]    
Clarified [acty]    
Diagnostic [fndg]    
Value [qnco]    
Contrast [qlco]    
Enhance [acty]    
Ultrasound [diap]    
Macroscopic [qlco]    
Classification [clas]    
Small [qnco]    
Nodular [qlco]    
Hepatocellular carcinoma [neop]    
% total [qnco]    
Surgical [hlca]    
resect [topp]    
Nodular [qlco]    
Hepatocellular carcinoma [neop]    
Maximum [qnco]    
Diameter [qnco]    
<3 [qnco]    
less [inpr]    
Hepatocellular carcinoma [neop]    
categorization [acty]    
Simple [qlco]    
Nodular [qlco]    
Non-nodular [spco]    
Simple [qlco]    
Contrast [qlco]    
Enhance [acty]    
Ultrasound finding [lbtr]    
Evaluable [ftcn]    
Arterial [bpoc]    
Phase [tmco]    
vascular [bpoc]    
Level [qlco]    
Shape [spco]    
Enhance [topp]    
Portal [blor]    
Phase [tmco]    
Presence [topp]    
absence [qnco]    
Washout [tmco]    
Post [tmco]    
vascular [bpoc]    
Phase [tmco]    
ECHO [topp]    
Intense [qlco]    
Shape [spco]    
Eight [qnco]    
Hepatocellular carcinoma [neop]    
categorization [acty]    
Simple [qlco]    
Nodular [qlco]    
Remaining [qlco]    
31 [inpr]    
categorization [acty]    
Non-nodular [spco]    
Simple [qlco]    
Diagnosis [fndg]    
Non-nodular [spco]    
Simple [qlco]    
HCC [neop]    
Area [spco]    
Receiver Operating Characteristic [qnco]    
Curve [spco]    
Value [qnco]    
Shape [spco]    
Enhance [topp]    
Late [tmco]    
Arterial [bpoc]    
Phase [tmco]    
Shape [spco]    
Post [tmco]    
vascular [bpoc]    
Image [inpr]    
Confidence Interval [qnco]    
Confidence Interval [qnco]    
Value [qnco]    
Combination [qlco]    
Shape [spco]    
Enhance [topp]    
Late [tmco]    
Arterial [bpoc]    
Phase [tmco]    
Shape [spco]    
Post [tmco]    
vascular [bpoc]    
Image [inpr]    
Diagnosis [fndg]    
Non-nodular [spco]    
Simple [qlco]    
HCC [neop]    
Confidence Interval [qnco]    
High [qlco]    
Diagnostic [fndg]    
Value [qnco]    
Contrast [qlco]    
Enhance [acty]    
Ultrasound [diap]    
Provide [acty]    
High [qlco]    
Quality [qlco]    
Image [diap]    
Assess [hlca]    
Macroscopic [qlco]    
Classification [clas]    
Small [qnco]    
Nodular [qlco]    
Hepatocellular carcinoma [neop]    
cent [qnco]    
Non-nodular [spco]    
Simple [qlco]    
One [qnco]    
Poor [grpa]    
Prognostic Factor [clna]    
patient [podg]    
HCC [neop]    
cent [qnco]    
Assess [hlca]    
Macroscopic [qlco]    
Type [qlco]    
provides [food]    
informant [idcn]    
Managed [ocac]    
HCC [neop]    
cent [qnco]    
Contrast [qlco]    
Enhance [acty]    
Ultrasound [diap]    
Provide [acty]    
High [qlco]    
Quality [qlco]    
Image [diap]    
Assess [hlca]    
Macroscopic [qlco]    
Classification [clas]    
HCC [neop]    
cent [qnco]    
Non-nodular [spco]    
Simple [qlco]    
HCC [neop]    
diagnose [fndg]    
Using [ftcn]    
Contrast [qlco]    
Enhance [acty]    
Ultrasound [diap]    
Hepatectomies [topp]    
preference [idcn]    
Curative treatment [fndg]    
