Hemodynamic [ortf]    
Small [qnco]    
Sclerosing Hepatocellular Carcinoma [neop]    
fibrose [patf]    
Capsule [bodm]    
Evaluable [ftcn]    
With [qlco]    
Single [popg]    
Level [qlco]    
Dynamic [ftcn]    
CT [gngm]    
Hepatic [blor]    
Arteriography [diap]    
Tumor [neop]    
Drainage [bdsu]    
Pathway [moft]    
Hypervascular [qlco]    
liver tumor [neop]    
fibrose [patf]    
Capsule [bodm]    
Evaluable [ftcn]    
Histologic [ftcn]    
Using [ftcn]    
Single [popg]    
Level [qlco]    
Dynamic [ftcn]    
CT [gngm]    
Hepatic [blor]    
Arteriography [diap]    
Case [ftcn]    
Type [qlco]    
Hepatocellular carcinoma [neop]    
This [euka]    
Tumor [neop]    
Thin [qlco]    
Corona [euka]    
On [ftcn]    
CT [gngm]    
Hepatic [blor]    
Arteriography [diap]    
Represent [acty]    
Drainage [bdsu]    
Tumor [neop]    
Sinusoid [bsoj]    
Surrounded [spco]    
liver sinusoids [bpoc]    
Corona [euka]    
Hypervascular [qlco]    
Tumor [neop]    
fibrose [patf]    
Capsule [bodm]    
