Role [socb]    
Hepatitis B virus genotype [orga]    
Quantitation [qnco]    
Metastasis [neop]    
Recurrence [phpr]    
Hepatocellular carcinoma [neop]    
Identification [menp]    
Risk factor [qnco]    
Recurrence [phpr]    
Metastasis [neop]    
HCC [neop]    
Prognosis [hlca]    
HCC [neop]    
surveillance [ftcn]    
Chronic infection [dsyn]    
Article [inpr]    
HCC [neop]    
patient [podg]    
followed [tmco]    
metastasis tumor [neop]    
Recurrence [phpr]    
median [spco]    
week [tmco]    
Level [qlco]    
detect [fndg]    
base [ftcn]    
Real-Time Polymerase Chain Reaction [mbrt]    
Fluorescence [npop]    
Quantitation [qnco]    
restrict [ftcn]    
System [ftcn]    
Genotype [orga]    
Using [ftcn]    
Restriction fragment length polymorphism [clna]    
PC [gngm]    
Mutate [genf]    
Perform [ftcn]    
Direct [qlco]    
Sequence [inpr]    
product [enty]    
HCC [neop]    
patient [podg]    
patient [podg]    
Exclude [idcn]    
lack [qlco]    
Follow-up [fndg]    
Data [idcn]    
Remaining [qlco]    
patient [podg]    
followed [tmco]    
+2 [qnco]    
year [tmco]    
ENTER [qlco]    
Analysis [lbpr]    
Nine [qnco]    
patient [podg]    
metastasis tumor [neop]    
Recurrence [phpr]    
Follow-up [fndg]    
Cumulative [qlco]    
Probabilities [qnco]    
HCC [neop]    
Metastasis [neop]    
Recurrence [phpr]    
65 [inpr]    
Multivariate Analysis [qnco]    
Genotype [orga]    
Level [qlco]    
Risk factor [qnco]    
HCC [neop]    
Recurrence [phpr]    
Metastasis [neop]    
Incidence [qnco]    
Recurrence [phpr]    
Metastasis [neop]    
Increase [qnco]    
baseline [bodm]    
Level [qlco]    
dose-response relationship [biof]    
Ranges [qnco]    
Level [qlco]    
less [inpr]    
<3 [qnco]    
Log [inpr]    
Copies [mnob]    
/mL [qnco]    
Level [qlco]    
>5 [qnco]    
Log [inpr]    
Copies [mnob]    
/mL [qnco]    
greater [qnco]    
0.012" [qnco]    
Seven [qnco]    
patient [podg]    
Metastasis [neop]    
Recurrence [phpr]    
patient [podg]    
Genotype [orga]    
/B [qnco]    
Adjusted [ftcn]    
Recurrence [phpr]    
Metastasis [neop]    
Genotype [orga]    
Compare [acty]    
Genotype [orga]    
Conclusion [idcn]    
elevate [qlco]    
Level [qlco]    
Genotype [orga]    
Strong [qlco]    
Risk [qlco]    
Predictor [idcn]    
HCC [neop]    
Metastasis [neop]    
Recurrence [phpr]    
