exert [orgf]    
Metastatic [ftcn]    
Effect [qlco]    
Cholangiocarcinoma [neop]    
Cell [cell]    
BY [geoa]    
Target [ftcn]    
Signal [phpr]    
Transducer [medd]    
Transcript [genf]    
Background [cnce]    
Aim [idcn]    
Cholangiocarcinoma [neop]    
aggressive cancer [neop]    
Standard [qlco]    
treatment [topp]    
ineffective [idcn]    
This [euka]    
studies [mnob]    
Metastatic [ftcn]    
Activate [dora]    
Diabetes [fndg]    
Drug [phsu]    
Cholangiocarcinoma [neop]    
Cell [cell]    
Material [sbst]    
Method [inpr]    
Cell Proliferation [celf]    
migrate [socb]    
Invasion [fndg]    
Anoikis [celf]    
Resistance [menp]    
Mechanical [ftcn]    
Identifiable [qlco]    
Using [ftcn]    
Result [ftcn]    
suppress [ftcn]    
Proliferating [patf]    
Cholangiocarcinoma [neop]    
Cell [cell]    
Dose [qnco]    
Time [tmco]    
depend [qlco]    
Present [qnco]    
Medium [inpr]    
Low dose [qnco]    
Increase [qnco]    
Anoikis [celf]    
inhibited [qlco]    
migrate [socb]    
Invasion [fndg]    
Cholangiocarcinoma [neop]    
Cell [cell]    
Decrease [qlco]    
Activate [acty]    
Phosphorylation [moft]    
suppress [patf]    
Nuclear Translocation [moft]    
Of [spco]    
Signal [phpr]    
Transducer [medd]    
Transcript [genf]    
Mechanical [ftcn]    
Effect [qlco]    
Conclusion [idcn]    
Potential [qlco]    
Metastatic [ftcn]    
Agent [chvf]    
human cell [lbtr]    
Cholangiocarcinoma [neop]    
Find [ftcn]    
Clinical Trial [resa]    
Cholangiocarcinoma [neop]    
treatment [ftcn]    
