ONGOING [idcn]    
Challenge [hlca]    
Diagnosis [fndg]    
Hepatocellular carcinoma [neop]    
European [popg]    
Associate [menp]    
studies [mnob]    
Liver [bpoc]    
Non-invasive [ftcn]    
Diagnosis [fndg]    
Hepatocellular carcinoma [neop]    
First [qnco]    
Time [tmco]    
Since [tmco]    
Then [tmco]    
Various [irda]    
criteria [inpr]    
Technique [inpr]    
Capability [qlco]    
Diagnosis [fndg]    
Role [socb]    
Plasma [bdsu]    
Tissue [tisu]    
Report [inpr]    
Literature [inpr]    
accept [qlco]    
Different [qlco]    
Extent [spco]    
Various [irda]    
Geographic Area [geoa]    
Tool [mnob]    
prognostic [inpr]    
Significance [qnco]    
Present [qnco]    
Article [inpr]    
Most [qnco]    
Relevance [qlco]    
debate [acty]    
Challenge [hlca]    
include [ftcn]    
Role [socb]    
Contrast [qlco]    
Enhance [acty]    
Ultrasound [diap]    
Hepatocyte [cell]    
Specific [qlco]    
Magnetic Resonance [npop]    
Contrast Agent [irda]    
Transient [popg]    
Hepatic [blor]    
Attenuate [acty]    
*Difference [qnco]    
Reliability [qnco]    
biopsied [diap]    
Status [qlco]    
Biomarker [clna]    
