Associate [menp]    
Age [orga]    
Overall [inpr]    
Survival [acty]    
patient [podg]    
Hepatocellular carcinoma [neop]    
Hepatic [blor]    
resect [topp]    
Aim [idcn]    
Hepatic [blor]    
resect [topp]    
Old [tmco]    
patient [podg]    
controversies [socb]    
This [euka]    
studies [mnob]    
Aim [idcn]    
To [qlco]    
investigate [ftcn]    
Age [orga]    
Overall [inpr]    
Survival [acty]    
patient [podg]    
Hepatocellular carcinoma [neop]    
resect [topp]    
Method [inpr]    
Record [inpr]    
1+ [qnco]    
patient [podg]    
Hepatocellular carcinoma [neop]    
Hepatic [blor]    
resect [topp]    
Review [inpr]    
Overall [inpr]    
Survival [acty]    
Compare [acty]    
Young [tmco]    
Old [tmco]    
patient [podg]    
base [ftcn]    
Five [qnco]    
Cutoff [ftcn]    
Age [orga]    
/40 [tmco]    
year [tmco]    
Result [ftcn]    
patient [podg]    
Overall [inpr]    
Survival [acty]    
year [tmco]    
<3 [qnco]    
year [tmco]    
>5 [qnco]    
year [tmco]    
Overall [inpr]    
Survival [acty]    
Similar [qlco]    
Young [tmco]    
Old [tmco]    
patient [podg]    
Cutoff [ftcn]    
Age [orga]    
Overall [inpr]    
Survival [acty]    
Lower [spco]    
patient [podg]    
year [tmco]    
Old [tmco]    
Multivariate Analyses [qnco]    
Identifiable [qlco]    
Several [qnco]    
Risk factor [qnco]    
Lower [spco]    
Overall [inpr]    
Survival [acty]    
Pre-operative [tmco]    
Serum Albumin [aapp]    
g l [qnco]    
U/L [qnco]    
ng/mL [qnco]    
Presence [topp]    
Esophagogastric [blor]    
Varices [dsyn]    
Invasion [fndg]    
Incomplete [qnco]    
Absent [qnco]    
Tumor [neop]    
Capsule [bodm]    
size tumor [spco]    
Tumor [neop]    
*Number [qnco]    
<3 [qnco]    
Major [qlco]    
Hepatectomies [topp]    
Conclusion [idcn]    
Age [orga]    
Not [ftcn]    
Prognosis [hlca]    
patient [podg]    
Hepatocellular carcinoma [neop]    
Hepatic [blor]    
resect [topp]    
Old [tmco]    
patient [podg]    
consider [idcn]    
Curative [cnce]    
resect [topp]    
Remnant [emst]    
Liver [bpoc]    
*Volume [qnco]    
Liver function [ortf]    
Adequate [qlco]    
[c] [qnco]    
