Oligonucleotide [nnon]    
inhibited [menp]    
Potential [qlco]    
treatment [ftcn]    
strategies [menp]    
Human [humn]    
Liver disease [dsyn]    
APO-1 [gngm]    
member [popg]    
Activate [acty]    
Bind [ftcn]    
Self [idcn]    
Aggregate [ftcn]    
Signal [celf]    
Cell [cell]    
Apoptosis [celf]    
To [qlco]    
Play [dora]    
Role [socb]    
T-cell [cell]    
Beta [plnt]    
Cell-Mediated Cytotoxicity [celf]    
depleted [ftcn]    
Tissue [tisu]    
include [ftcn]    
Liver [bpoc]    
function [phsf]    
Liver normal [fndg]    
studies [lbpr]    
Expression [topp]    
Liver [bpoc]    
Up [spco]    
Regulated [gora]    
Certain [qlco]    
Inflammatory [ftcn]    
condition [dsyn]    
*Number [qnco]    
Clinical report [inpr]    
Expression [topp]    
Apoptosis [celf]    
Correlated [qlco]    
Damage [inpo]    
Liver [bpoc]    
progress [patf]    
Several [qnco]    
Hepatic disease [dsyn]    
Represent [acty]    
Attractive [qlco]    
Therapeutic [topp]    
Target [ftcn]    
Control [grup]    
Excess [qlco]    
Abnormal [qlco]    
Apoptosis [celf]    
Liver [bpoc]    
One [qnco]    
Approach [spco]    
To [qlco]    
Expression [topp]    
In Vivo [spco]    
To [qlco]    
use [ftcn]    
This [euka]    
Class [inpr]    
Compound [qlco]    
Show [inpr]    
To [qlco]    
Effect [qlco]    
Inhibitor [chvf]    
expression gene [genf]    
Organ [bpoc]    
include [ftcn]    
Liver [bpoc]    
Protection [fndg]    
Liver [bpoc]    
Apoptotic [qlco]    
injuries [inpo]    
Animal [anim]    
treatment [ftcn]    
Arrest [dsyn]    
Article [inpr]    
Evidence [ftcn]    
Role [socb]    
Mediate [socb]    
Form [qlco]    
Liver disease [dsyn]    
Review [inpr]    
used [fndg]    
To [qlco]    
PREVENT [phsu]    
Control [grup]    
Pathologic [bmod]    
[c] [qnco]    
Science [ocdi]    
Rights [qlco]    
Reservation [acty]    
