IMPACT [gngm]    
Hepatitis C [dsyn]    
Triple [qnco]    
Therapies [ftcn]    
Availability [ftcn]    
*Number [qnco]    
patient [podg]    
TREAT [topp]    
Associated [qlco]    
Cost [qnco]    
France [geoa]    
Model [inpr]    
base [ftcn]    
Analysis [lbpr]    
Object [inpr]    
Combination [qlco]    
Approval [qlco]    
Summer [tmco]    
treatment [ftcn]    
Genotype [orga]    
Hepatitis C virus [virs]    
infect [ftcn]    
patient [podg]    
Improved [qlco]    
Efficacy [qlco]    
Aim [idcn]    
studies [mnob]    
To [qlco]    
Estimate [qnco]    
*Number [qnco]    
Genotype [orga]    
patient [podg]    
TREAT [topp]    
France [geoa]    
Associated [qlco]    
Cost [qnco]    
Method [inpr]    
Published [ocac]    
Model [inpr]    
Hepatitis C virus [virs]    
Data [idcn]    
Sales [ocac]    
used [fndg]    
To [qlco]    
Estimate [qnco]    
patient [podg]    
Needed [ftcn]    
treatment [ftcn]    
Using [ftcn]    
Three [qnco]    
scenario [ftcn]    
1+ [qnco]    
Hepatitis C screening [topp]    
Virus [virs]    
Rate [acty]    
Unchanged [fndg]    
Proportion [qnco]    
TREAT [topp]    
patient [podg]    
Unchanged [fndg]    
Proportion [qnco]    
TREAT [topp]    
F2 [qnco]    
patient [podg]    
Increase [qnco]    
Current [tmco]    
Proportion [qnco]    
TREAT [topp]    
F2 [qnco]    
patient [podg]    
+2 [qnco]    
scenario [ftcn]    
Proportion [qnco]    
TREAT [topp]    
patient [podg]    
Increase [qnco]    
Current [tmco]    
Proportion [qnco]    
TREAT [topp]    
patient [podg]    
<3 [qnco]    
scenario [ftcn]    
>5 [qnco]    
Increase [ftcn]    
Hepatitis C screening [topp]    
Virus [virs]    
Rate [acty]    
To [qlco]    
Estimate [qnco]    
Cost [qnco]    
treatment duration [tmco]    
Multiply [ftcn]    
Drug Cost [qnco]    
Unit [qnco]    
Probabilities [qnco]    
treatment duration [tmco]    
Estimate [qnco]    
base [ftcn]    
Fibrosis, Liver [dsyn]    
Stage [tmco]    
treatment [ftcn]    
Status [qlco]    
*^patient [podg]    
virologic [ftcn]    
Response [orga]    
kinetic [npop]    
treatment [ftcn]    
Result [ftcn]    
Compare [acty]    
Genotype [orga]    
patient [podg]    
TREAT [topp]    
*Number [qnco]    
Genotype [orga]    
patient [podg]    
Receive [qlco]    
treatment [ftcn]    
scenario [ftcn]    
scenario [ftcn]    
scenario [ftcn]    
Receive [qlco]    
97 [inpr]    
Cost [qnco]    
Associated [qlco]    
Regimen [topp]    
use [ftcn]    
Ranges [qnco]    
Million [qnco]    
euro [qnco]    
Conclusion [idcn]    
Model [inpr]    
base [ftcn]    
Estimate [qnco]    
New [tmco]    
Hepatic [dsyn]    
Virus [virs]    
treatment [topp]    
Result [ftcn]    
Three [qnco]    
Increase [ftcn]    
*Number [qnco]    
Genotype [orga]    
patient [podg]    
TREAT [topp]    
France [geoa]    
