detect [topp]    
Endogenous [ftcn]    
reduction [npop]    
Hepatocarcinogenesis [neop]    
susceptibilities [clna]    
weight [orga]    
Mr. [cnce]    
Image [diap]    
Value [qnco]    
Characterization [acty]    
Hepatocellular carcinoma [neop]    
Dysplastic nodule [anab]    
Cirrhotic [qlco]    
Liver [bpoc]    
Object [inpr]    
investigate [ftcn]    
Value [qnco]    
susceptibilities [clna]    
weight [orga]    
Image [diap]    
Characterization [acty]    
Hepatocellular carcinoma [neop]    
Dysplastic nodule [anab]    
Material [sbst]    
Method [inpr]    
Eight [qnco]    
Cirrhotic [qlco]    
patient [podg]    
Hepatocellular [qlco]    
Nodule [acab]    
susceptibilities [clna]    
weight [orga]    
Image [diap]    
Radiologic [bmod]    
Feature [qlco]    
Hepatocellular [qlco]    
Nodule [acab]    
susceptibilities [clna]    
weight [orga]    
Image [diap]    
Classified [clas]    
Three [qnco]    
Type [qlco]    
Type [qlco]    
Background [cnce]    
Liver [bpoc]    
Siderosis [dsyn]    
Type [qlco]    
Background [cnce]    
Liver [bpoc]    
Siderosis [dsyn]    
Type [qlco]    
Background [cnce]    
Liver [bpoc]    
Siderosis [dsyn]    
Background [cnce]    
Liver [bpoc]    
Content [menp]    
Correlated [qlco]    
susceptibilities [clna]    
weight [orga]    
Image [diap]    
Pattern [spco]    
Stain [lbpr]    
Perform [ftcn]    
To [qlco]    
Quantify [qnco]    
Background [cnce]    
Liver [bpoc]    
Content [menp]    
Result [ftcn]    
Type [qlco]    
Pattern [spco]    
contained [ftcn]    
DN [neop]    
1+ [qnco]    
Hepatocellular carcinoma [neop]    
Type [qlco]    
Pattern [spco]    
1+ [qnco]    
1/5 [qnco]    
Dysplastic nodule [anab]    
65 [inpr]    
HCC [gngm]    
include [ftcn]    
Dysplastic nodule [anab]    
HCC [gngm]    
HCC [gngm]    
Type [qlco]    
Pattern [spco]    
Seen [qlco]    
HCC [gngm]    
Score [qnco]    
HCC [gngm]    
Lower [spco]    
Background [cnce]    
Liver [bpoc]    
VS [idcn]    
VS [idcn]    
97 [inpr]    
Significance [qnco]    
*Difference [qnco]    
Score [qnco]    
DN [neop]    
Background [cnce]    
Liver [bpoc]    
VS [idcn]    
Lesion [fndg]    
base [ftcn]    
Patient Base [qnco]    
Analysis [lbpr]    
HCC [gngm]    
Dysplastic nodule [anab]    
HCC [gngm]    
HCC [gngm]    
Type [qlco]    
Pattern [spco]    
Show [inpr]    
Sensitive [qnco]    
Specific [qnco]    
Accuracy [qlco]    
Positive [qnco]    
Value [qnco]    
NEG [qlco]    
Value [qnco]    
23 [qnco]    
Conclusion [idcn]    
susceptibilities [clna]    
weight [orga]    
Image [diap]    
Provide [acty]    
informant [idcn]    
Characterization [acty]    
Hepatocellular carcinoma [neop]    
Dysplastic nodule [anab]    
base [ftcn]    
Endogenous [ftcn]    
reduction [npop]    
Hepatocarcinogenesis [neop]    
