Focal Nodular Hyperplasia [dsyn]    
Accessory liver [cgab]    
Imaging finding [lbtr]    
computed tomography [diap]    
Magnetic Resonance Imaging [diap]    
Accessory liver [cgab]    
Tissue [tisu]    
Rare [tmco]    
Probably [idcn]    
Entity [enty]    
Harbor [mnob]    
Same [qlco]    
Spectrum [qnco]    
Pathologic [bmod]    
parent [famg]    
Organ [bpoc]    
Rare [tmco]    
Aberrant [qlco]    
Location [spco]    
Lesion [fndg]    
cause [ftcn]    
Confused [mobd]    
Lower [spco]    
Diagnostic [fndg]    
Confidence [menp]    
Classic [qlco]    
Radiograph [npop]    
Appearance [qlco]    
Focal Nodular Hyperplasia [dsyn]    
Most [qnco]    
Common Tumor [neop]    
Non [ftcn]    
Benign [qlco]    
Hepatic [blor]    
Knowledge [inpr]    
Ectopic [spco]    
Focal Nodular Hyperplasia [dsyn]    
Report [inpr]    
Only [qnco]    
Before [tmco]    
Gastroenterology [bmod]    
Literature [inpr]    
Present [qnco]    
First [qnco]    
Case [ftcn]    
Ectopic [spco]    
Focal Nodular Hyperplasia [dsyn]    
Radiologic [bmod]    
Literature [inpr]    
