strategies [menp]    
Hepatitis C virus [virs]    
Disease [dsyn]    
Burden [idcn]    
*Number [qnco]    
Hepatitis C virus [virs]    
Hepatitis C virus [virs]    
infect [dsyn]    
Project [inpr]    
To [qlco]    
Advance [qlco]    
Liver disease [dsyn]    
Increase [ftcn]    
Approach [spco]    
used [fndg]    
forecast [inpr]    
Two [qnco]    
treatment [ftcn]    
scenario [ftcn]    
I- [inch]    
IMPACT [gngm]    
Increase [qnco]    
efficacy treatment [qlco]    
Keep [ftcn]    
*Number [qnco]    
TREAT [topp]    
patient [podg]    
*Constant [qnco]    
Increase [ftcn]    
Efficacy [qlco]    
treatment [ftcn]    
Rate [acty]    
This [euka]    
Analysis [lbpr]    
Suggest [idcn]    
Success [qlco]    
Diagnosis [fndg]    
treatment [ftcn]    
Small [qnco]    
Proportion [qnco]    
patient [podg]    
Contribute [acty]    
reduction [npop]    
Disease [dsyn]    
Burden [idcn]    
Countries [geoa]    
studies [mnob]    
Largest [qnco]    
reduction [npop]    
Hepatitis C virus [virs]    
Relate [orch]    
Morbidities [qnco]    
Mortalities [qnco]    
Occur [acty]    
Increase [qnco]    
treatment [ftcn]    
Combination [qlco]    
High [qlco]    
Efficacy [qlco]    
Therapies [topp]    
Combination [qlco]    
Increase [qnco]    
Diagnosis [fndg]    
treatment [ftcn]    
Rate [acty]    
Approximate [qlco]    
Analysis [lbpr]    
Suggest [idcn]    
Possible [qlco]    
Eliminated [phsf]    
Hepatitis C virus [virs]    
Defined [cnce]    
>90 [qnco]    
% total [qnco]    
infect [dsyn]    
Countries [geoa]    
Present [idcn]    
3 5 [qnco]    
Fold [spco]    
Increase [ftcn]    
Diagnosis [fndg]    
treatment [ftcn]    
Build [ftcn]    
Public Health [bmod]    
Clinical [qlco]    
Provide [prog]    
Capacity [qnco]    
Improved [qlco]    
Diagnosis [fndg]    
treatment [ftcn]    
Critical [qlco]    
