Integral [genf]    
Endoplasmic Reticulum Stress [comd]    
Response [orga]    
Cancer [neop]    
Endoplasm [celc]    
Major [qlco]    
Site [spco]    
Cellular Regulation [celf]    
Homeostasis [biof]    
Unfolded Protein Response [moft]    
Found [qnco]    
To [qlco]    
Play [dora]    
Major [qlco]    
Role [socb]    
Cancer [neop]    
Disease [dsyn]    
Address [inpr]    
Endoplasm [celc]    
Mediate [socb]    
Signal [celf]    
Regulated [rnlw]    
Context [fndg]    
Environmental [spco]    
Challenge [hlca]    
Cancer [neop]    
Hypoxia [patf]    
Angiogenesis [ortf]    
Resistance [menp]    
ELL [gngm]    
Reside [prog]    
Molecular [qlco]    
Machine [mnob]    
Deregulated [acty]    
Involved [ftcn]    
Cancer related [fndg]    
Pathologic [bmod]    
Further [spco]    
Exploration [topp]    
Endoplasm [celc]    
sense [ortf]    
Signal [phpr]    
adapt [orch]    
Stress [fndg]    
Understand [menp]    
function [ftcn]    
Cancer [neop]    
