Liver Transplant [topp]    
Hepatocellular carcinoma [neop]    
Valid [resa]    
Expand [spco]    
criteria [inpr]    
base [ftcn]    
Pre-operative [tmco]    
Image [diap]    
Suggest [idcn]    
patient [podg]    
Carcinoma [neop]    
convention [qlco]    
criteria [inpr]    
Orthotopic liver transplant [topp]    
Expand [spco]    
base [ftcn]    
Pathologic [bmod]    
criteria [inpr]    
Present [qnco]    
studies [mnob]    
To [qlco]    
criteria [inpr]    
base [ftcn]    
Image [diap]    
>5 [qnco]    
year [tmco]    
period [tmco]    
criteria [inpr]    
used [fndg]    
Guideline [inpr]    
Orthotopic liver transplant [topp]    
patient [podg]    
include [ftcn]    
patient [podg]    
Meet [hlca]    
criteria [inpr]    
T3a [fndg]    
1+ [qnco]    
>5 [qnco]    
year [tmco]    
Recurrence [phpr]    
free [ftcn]    
Probabilities [qnco]    
>90 [qnco]    
Survival [acty]    
Recurrence [phpr]    
patient [podg]    
Pre-operative [tmco]    
Carcinoma [neop]    
1+ [qnco]    
>5 [qnco]    
year [tmco]    
Recurrence [phpr]    
free [ftcn]    
Probabilities [qnco]    
>90 [qnco]    
Pre-operative [tmco]    
T3a Stage [fndg]    
Stage [ftcn]    
Observation [ftcn]    
T3a [fndg]    
Carcinoma [neop]    
Tumor [neop]    
criteria [inpr]    
1+ [qnco]    
>5 [qnco]    
year [tmco]    
Recurrence [phpr]    
free [ftcn]    
Probabilities [qnco]    
Within [spco]    
criteria [inpr]    
Conclusion [idcn]    
Result [ftcn]    
Abilities [orga]    
criteria [inpr]    
Discriminate [qlco]    
Prognosis [hlca]    
Orthotopic liver transplant [topp]    
To [qlco]    
criteria selection [qlco]    
Orthotopic liver transplant [topp]    
Similar [qlco]    
Risk [qlco]    
recurrence tumor [neop]    
Stage [ftcn]    
Compare [acty]    
criteria [inpr]    
