Pathologic [bmod]    
Cytophotometry [lbpr]    
Small [qnco]    
Hepatocellular carcinoma [neop]    
Nodule [acab]    
Appearance [orga]    
Evidence [ftcn]    
progress [patf]    
Hepatocellular carcinoma [neop]    
Surgical [hlca]    
resect [topp]    
Human [humn]    
Hepatocellular carcinoma [neop]    
Equal [qlco]    
Diameter [qnco]    
23 [qnco]    
Tumor [neop]    
Show [inpr]    
Nodule [acab]    
Appearance [orga]    
progress [patf]    
HCC [neop]    
Central [spco]    
Nodule [acab]    
Show [inpr]    
Destruction [inbe]    
HCC [neop]    
less [inpr]    
Differential [celf]    
Surrounded [spco]    
Area [geoa]    
Histologic [ftcn]    
Surrounded [spco]    
Area [geoa]    
Show [inpr]    
Very [qlco]    
Well Differentiated [qlco]    
HCC [neop]    
Only [qnco]    
Minimal [qlco]    
Destruction [topp]    
Liver structure [bpoc]    
proposal [idcn]    
Term [tmco]    
HCC [neop]    
Human [humn]    
Hepatocellular carcinoma [neop]    
Definite [qlco]    
Destruction [inbe]    
Nodular Lesion [fndg]    
described [idcn]    
consider [idcn]    
To [qlco]    
transit [spco]    
Stage [tmco]    
Early [tmco]    
HCC [neop]    
Advance [qlco]    
HCC [neop]    
named [inpr]    
Early [tmco]    
Advance [qlco]    
HCC [neop]    
Cytophotometry [lbpr]    
Perform [ftcn]    
Case [ftcn]    
Early [tmco]    
Advance [qlco]    
HCC [neop]    
Early [tmco]    
HCC [neop]    
Component [mnob]    
Advance [qlco]    
HCC [neop]    
Component [mnob]    
Non [ftcn]    
tissue tumor [tisu]    
Liver [bpoc]    
Show [inpr]    
Hepatitis, Chronic [dsyn]    
Cirrhosis [dsyn]    
Analyzed [resa]    
Early [tmco]    
HCC [neop]    
Component [mnob]    
Show [inpr]    
Diploid [orga]    
Pattern [spco]    
Eight [qnco]    
Case [ftcn]    
Advance [qlco]    
HCC [neop]    
Component [mnob]    
Show [inpr]    
Aneuploid [comd]    
Peak [qnco]    
Seven [qnco]    
Case [ftcn]    
Three [qnco]    
Peak [qnco]    
detect [fndg]    
Only [qnco]    
Advance [qlco]    
HCC [neop]    
Component [mnob]    
Not [ftcn]    
Early [tmco]    
HCC [neop]    
Component [mnob]    
Mean [qnco]    
Content [menp]    
Increase [qnco]    
Non [ftcn]    
liver tumor [neop]    
Early [tmco]    
HCC [neop]    
Component [mnob]    
Early [tmco]    
HCC [neop]    
Component [mnob]    
Advance [qlco]    
HCC [neop]    
Component [mnob]    
Polyploid Cells [cell]    
Containing [ftcn]    
More [ftcn]    
excepting [idcn]    
Non [ftcn]    
liver tumor [neop]    
Early [tmco]    
HCC [neop]    
Component [mnob]    
Increase [qnco]    
*Number [qnco]    
Advance [qlco]    
HCC [neop]    
Component [mnob]    
Find [ftcn]    
Suggest [idcn]    
Instability [fndg]    
Role [socb]    
Play [dora]    
Subclone [cell]    
progress [patf]    
Human [humn]    
HCC [neop]    
