Progression [patf]    
Targeted Therapy [topp]    
Advanced [qlco]    
Cholangiocarcinoma [neop]    
establish [qlco]    
effective [qlco]    
therapy [ftcn]    
Survival [acty]    
Patients [podg]    
Advanced [qlco]    
Cholangiocarcinoma [neop]    
CCA [cgab]    
Recently [tmco]    
Pathology [bmod]    
Research [resa]    
CCA [cgab]    
LOT [inpr]    
Special [qlco]    
BIO [fndg]    
Marker [clna]    
Al [lbpr]    
Over [spco]    
Mutations [genf]    
CCA [cgab]    
Patients [podg]    
Combinations [mnob]    
Targeted Therapy [topp]    
Plus [ftcn]    
Chemotherapy [topp]    
Now [tmco]    
effective [qlco]    
Therapies [topp]    
Advanced [qlco]    
CCA [cgab]    
Paper [mnob]    
promise [idcn]    
Targeted Therapy [topp]    
Alone [qnco]    
Combination [qlco]    
Chemotherapies [topp]    
