ONGOING [idcn]    
challenges [hlca]    
DIAGNOSIS [fndg]    
HEPATOCELLULAR CARCINOMA [neop]    
EUROPEAN [popg]    
Association [menp]    
Study [mnob]    
LIVER [bpoc]    
Non-invasive [ftcn]    
DIAGNOSIS [fndg]    
HEPATOCELLULAR CARCINOMA [neop]    
TIME [tmco]    
Since [tmco]    
Then [tmco]    
Various [irda]    
Criteria [inpr]    
techniques [inpr]    
Capability [qlco]    
DIAGNOSIS [fndg]    
PLASMA [bdsu]    
TISSUE [tisu]    
Reported [inpr]    
Literature [inpr]    
Accepted [qlco]    
Extents [spco]    
Various [irda]    
geographical area [geoa]    
Tool [mnob]    
Prognostic [inpr]    
Present [qnco]    
Article [inpr]    
Discuss [socb]    
Relevant [qlco]    
debate [acty]    
challenges [hlca]    
Including [ftcn]    
Contrast [irda]    
Enhanced [acty]    
ULTRASOUND [diap]    
Hepatocyte [cell]    
Specific [qlco]    
Magnetic Resonance [npop]    
Agents, Contrast [irda]    
Transient [popg]    
Hepatic [blor]    
Attenuation [acty]    
Reliability [qnco]    
BIOPSY [diap]    
Status [qlco]    
Biomarkers [clna]    
