chemically induced [patf]    
Hepatic [blor]    
Mice [mamm]    
Aims [idcn]    
Experimental [qlco]    
Carcinogenesis [neop]    
Defined [inpr]    
Foci [spco]    
Altered [ftcn]    
Hepatocytes [cell]    
Vascular [bpoc]    
Invasion [fndg]    
Vascular [bpoc]    
Extension [ftcn]    
Study [mnob]    
Evaluate [hlca]    
In Situ [spco]    
chemically induced [patf]    
Methods [inpr]    
Fourteen [qnco]    
C3H Mice [mamm]    
MALE [orga]    
Submitted [ftcn]    
Induced [ftcn]    
Carcinogenesis [neop]    
Performed [ftcn]    
In [qnco]    
Parallel [qlco]    
Order [inpr]    
localize [spco]    
Negative [qlco]    
lesions [fndg]    
Animals [anim]    
Sacrifice [idcn]    
WEEKS [tmco]    
LIVER [bpoc]    
Section, NOS [topp]    
Histologically [ftcn]    
Study [mnob]    
Represent [acty]    
lesions [fndg]    
Compared [acty]    
Foci [spco]    
Adenomas [neop]    
Cancers [neop]    
Hepatocyte [cell]    
lesions [fndg]    
Intense [qlco]    
Homozygous [orga]    
lesions [fndg]    
WEEKS [tmco]    
Conclusions [idcn]    
exhibiting [inpr]    
Progression [patf]    
Vessels [bpoc]    
Overexpression [genf]    
FORMERLY [gngm]    
named [inpr]    
vascular factor [aapp]    
ACT [topp]    
Permeability [npop]    
Vascular [bpoc]    
break down [qlco]    
EUROPEAN [popg]    
Association [menp]    
Study [mnob]    
LIVER [bpoc]    
Published [ocac]    
Science [ocdi]    
rights [qlco]    
Reserve [acty]    
