Paper [mnob]    
Accurate [qlco]    
Histological Description [spco]    
LIVER [bpoc]    
lesions [fndg]    
beading [bodm]    
hepatic tumors [neop]    
Related [qlco]    
Subject [grup]    
Cases [ftcn]    
NEOPLASIA [neop]    
MALFORMATION [cgab]    
REGENERATION [ortf]    
HYPERPLASIA [patf]    
Indifferent [qlco]    
Master [qlco]    
Term [orgf]    
introduce [ftcn]    
Based [ftcn]    
Characterized [acty]    
Multiplication, Cell [celf]    
practice [menp]    
Survey [inpr]    
Mesenchymal [qlco]    
Angiomatous [qlco]    
Angiomatous [qlco]    
Epithelial [qlco]    
Hepatocellular [qlco]    
Types [qlco]    
Differentiation [celf]    
phenomenology [idcn]    
Means [cnce]    
Identical [qlco]    
Statement [idcn]    
definition [idcn]    
subgroups [virs]    
Mostly [qnco]    
Adhere [phpr]    
CURRENT [tmco]    
Usage [ftcn]    
Only occasionally [tmco]    
Group [idcn]    
Endothelial [tisu]    
Tumors [neop]    
Novel [qlco]    
Term [orgf]    
Employed [qlco]    
Coordination [phsf]    
System [ftcn]    
