Cross [cnce]
Cultural [idcn]
adaptation [orgf]
Content [menp]
Validation [resa]
Start [tmco]
Context [fndg]
Objective [inpr]
treatment [ftcn]
Diseases [dsyn]
condition [dsyn]
considered [idcn]
Care [acty]
Several [qnco]
Countries [geoa]
Present [qnco]
Study [mnob]
adaptation [orgf]
Screening [hlca]
Tool [mnob]
alert [fndg]
doctors [prog]
Right [spco]
treatment [ftcn]
Start [tmco]
brazilian [fndg]
Portuguese [popg]
Tool [mnob]
Content [menp]
Design [acty]
setting [ftcn]
Cultural [idcn]
adaptation [orgf]
Validation [resa]
Start [tmco]
criteria [inpr]
Delphi Technique [resa]
Consensus [socb]
Start [tmco]
translated [ocac]
Original [idcn]
Language [lang]
brazilian [fndg]
Portuguese [popg]
Back [blor]
Translation [inpr]
Validation [resa]
Modified [ftcn]
Delphi Technique [resa]
Electronic [mnob]
Form [qlco]
Sent [ftcn]
Likert scale [inpr]
Statement [idcn]
included [ftcn]
Start [tmco]
Brazilian Real [qnco]
Statement [idcn]
Exhibit [inpr]
Mean score [qnco]
considered [idcn]
Consensus [socb]
identities [menp]
Keep [ftcn]
confidentiality [idcn]
Validation [resa]
Process [bpoc]
Phase [tmco]
Validation [resa]
Process [bpoc]
Statement [idcn]
Start [tmco]
Consensus [socb]
Remaining [qlco]
Statement [idcn]
Return [qlco]
SO [geoa]
Comments [inpr]
Statement [idcn]
Based [ftcn]
Likert scale [inpr]
Phase [tmco]
Start [tmco]
Instrument [medd]
Consensus [socb]
Content [menp]
Start [tmco]
Brazil [geoa]
Original [idcn]
criteria [inpr]
Maintained [ftcn]
