Nucleotide [nnon]
Enzymes [enzy, orch]
Platelets [cell]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Patients [podg]
treated [topp]
Conisation [diap]
radiotherapy [inpr]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Malignancy [neop]
Sometimes [tmco]
Thrombosis [patf]
Membrane [tisu]
bound [spco]
Enzymes [enzy, orch]
Adenine Nucleotides [bacs, nnon, phsu]
Extracellular [celc]
Medium [inpr]
sense [ortf]
investigate [ftcn]
activity [dora]
Patients [podg]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Methods [inpr]
Evaluated [ftcn]
Patients [podg]
treated [topp]
Uterine [bpoc]
Cervical [blor]
Neoplasia [neop]
Conisation [diap]
radiotherapy [inpr]
RTX [orch, phsu]
Patients [podg]
divided [ftcn]
Group [idcn]
Conisation [diap]
Group [idcn]
RTX [orch, phsu]
Group [idcn]
III [inpr]
divided [ftcn]
Based [ftcn]
Amount [qnco]
Passed [fndg]
treatment [ftcn]
Group [idcn]
land [mnob]
III [inpr]
Extended [ftcn]
Remission [fndg]
Group [idcn]
Patients [podg]
Elapsed [tmco]
treatment [ftcn]
Group [idcn]
Recently [tmco]
treated [topp]
Patients [podg]
treated [topp]
months [tmco]
Conisation [diap]
RTX [orch, phsu]
Group [idcn]
ADP [lbpr]
Hydrolysis [npop]
Decreased [qnco]
Extended [ftcn]
Remission [fndg]
Group [idcn]
Compared [acty]
Recently [tmco]
treated [topp]
Group [idcn]
Hand [bpoc]
Hydrolysis [npop]
Decreased [qnco]
treated [topp]
Group [idcn]
Conisation [diap]
RTX [orch, phsu]
Compared [acty]
Decreased [qnco]
Extended [ftcn]
Remission [fndg]
Group [idcn]
III [inpr]
Compared [acty]
Group [idcn]
Conclusions [idcn]
Platelet aggregation [celf]
adenosine formation [moft]
SAS [orch]
Reserve [acty]
