Genotyping [lbpr]
Exercise [dora]
Pharmacogenetics [bmod]
Pharmacy [hcro]
practice [menp]
Objective [inpr]
Genotype [orga]
Exercise [dora]
Students, Pharmacy [prog]
Comprehension [menp]
pharmacogenetic [bmod]
Apply [hlca]
patient care [hlca]
Design [acty]
Deoxyribonucleic Acid [bacs, nnon]
Collected [idcn]
Class [inpr]
student [prog]
Volunteers [prog]
Subject [grup]
Genotype [orga]
Presented [idcn]
Class [inpr]
Context [fndg]
Patient counseling [hlca]
GENETIC [topp]
Session [evnt]
Students [prog]
COMPLETED [qlco]
Survey Instrument [inpr]
Attitudes [menp]
learning [edac]
experience [menp]
Assessment [hlca]
Students [prog]
Indicated [fndg]
Exercise [dora]
Engaged [fndg]
Course [tmco]
Content [menp]
Ability [orga]
Apply [hlca]
pharmacogenetic [bmod]
patient care [hlca]
Applied [hlca]
Genotype [orga]
Exercise [dora]
Enhanced [acty]
learning [edac]
pharmacogenetic [bmod]
Based [ftcn]
findings [ftcn]
conducting [inbe]
Genotype [orga]
Exercise [dora]
Large [qnco]
classroom [mnob]
setting [ftcn]
expense [qnco]
Meaning [idcn]
student [prog]
Satisfaction [menp]
