Conceptual [cnce]
Glossary [inpr]
Epidemiology [bmod]
Construct [clas]
Process [bpoc]
Central [spco]
Theory [idcn]
Epidemiological [bmod]
Inquiry [acty]
Humans [humn]
simultaneously [tmco]
Social [ftcn]
Biological [bmod]
Organisms [orgm]
Advance [medd]
Critical [qlco]
bodies [humn]
Story [geoa]
Study [mnob]
Divorced [fndg]
condition [dsyn]
bodies [humn]
Story [geoa]
Often [tmco]
Not Stated [mnob]
Always [tmco]
match [resa]
People [popg]
account [idcn]
bodies [humn]
Story [geoa]
People [popg]
Unable [fndg]
Choose [acty]
Dead [orgf]
Bones [bpoc]
Forensic Pathology [bmod]
Historical [idcn]
Anthropometry [resa]
Living [idcn]
bodies [humn]
Story [geoa]
lives [fndg]
Glossary [inpr]
concepts [idcn]
definition [idcn]
Hypothesis [idcn]
Relevant [qlco]
Construct [clas]
Epidemiology Research [resa]
SO [geoa]
Promote [acty]
Rigor [sosy]
Science [ocdi]
Social Equity [qlco]
Health [idcn]
