Sulphate [inch]    
Colloid [bodm]    
Enhanced [acty]    
MR [gngm]    
Imaging [diap]    
HEPATOCELLULAR CARCINOMA [neop]    
Comparison [acty]    
CT [geoa]    
Arterial [bpoc]    
Portography [diap]    
Colloid [bodm]    
MR [gngm]    
Contrast Agent [irda]    
Detection [topp]    
HEPATOCELLULAR CARCINOMA [neop]    
findings [ftcn]    
Surgically [hlca]    
confirmed [qlco]    
HCCS [gngm]    
Patients [podg]    
T1 [gngm]    
Proton [elii]    
Density [qnco]    
weighted [orga]    
SPIN [gngm]    
ECHO [topp]    
MR [gngm]    
Image [inpr]    
Obtained [ftcn]    
injection [topp]    
mU/kg [qnco]    
Fe+++ [elii]    
Enhanced [acty]    
MR [gngm]    
Image [inpr]    
Image [inpr]    
Obtained [ftcn]    
CT [geoa]    
Arterial [bpoc]    
Portography [diap]    
Correlated [qlco]    
Pathology, Surgical [bmod]    
findings [ftcn]    
Sensitivities [fndg]    
Enhanced [acty]    
MR [gngm]    
Imaging [diap]    
CT [geoa]    
AP [inpr]    
Note [clna]    
Portal [blor]    
Flow [npop]    
Abnormalities [cgab]    
CT [geoa]    
Arterial [bpoc]    
Portography [diap]    
Affect [menp]    
Detection [topp]    
HEPATOCELLULAR CARCINOMA [neop]    
Enhanced [acty]    
MR [gngm]    
Imaging [diap]    
Enhancement [topp]    
MR [gngm]    
Imaging [diap]    
Detection [topp]    
lesions [fndg]    
DIAMETER [qnco]    
Enhanced [acty]    
MR [gngm]    
Imaging [diap]    
Supplemental [ftcn]    
Detection [topp]    
HEPATOCELLULAR CARCINOMA [neop]    
