Hepatic [blor]    
Radioembolization [topp]    
Update [tmco]    
CURRENT [tmco]    
practice [menp]    
Radioembolization [topp]    
Established [qlco]    
treatment [ftcn]    
Modality [idcn]    
Subject [grup]    
Improvement [cnce]    
Last [qlco]    
Decade [qnco]    
Affecting [ftcn]    
Patient Selection [resa]    
treatment [ftcn]    
overview [inpr]    
CURRENT [tmco]    
practice [menp]    
Focus [spco]    
In the Field [spco]    
Radioembolization [topp]    
Several [qnco]    
Issue [fndg]    
recommendations [idcn]    
Application [hlca]    
Radioembolization [topp]    
Discuss [socb]    
Range [qnco]    
Patient Selection [resa]    
treatment [ftcn]    
Response [orga]    
Future [tmco]    
applications [hlca]    
