唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
zgsyyy201403108,3,,地佐辛对全麻术后拔除气管导管时间的影响,,邹昌骝[1];林明霞[2];邓超[1];敬勇君[1];,"[1]518000,深圳平乐骨伤科医院麻醉科;[2]深圳流花医院麻醉科;",中国实用医药,地佐辛;全麻;拔管时间;手术间利用率;,,2014,,3
shdeykdxxb201608012,0,"ISTIC,PKU",妊娠期糖尿病的危险因素分析,10.3969/j.issn.1674-8115.2016.08.012,罗明娟[1];胡园园[2];吴雪琴[3];顾建芬[4];梁伟[4];陈健浩[5];罗琼[5];黄晓青[2];胡承[6];,"[1]香港大学深圳医院内分泌与代谢科,深圳518053;深圳龙岗中心医院内分泌与代谢科,深圳518116;[2]深圳龙岗中心医院内分泌与代谢科,深圳,518116;[3]深圳龙岗中心医院妇产科,深圳,518116;[4]香港大学深圳医院内分泌与代谢科,深圳,518053;[5]香港大学深圳医院妇产科,深圳,518053;[6]上海交通大学附属第六人民医院,上海市糖尿病研究所,上海200233;",上海交通大学学报（医学版）,糖尿病;妊娠;危险因素;,R714.256,2016,36,8
zgxlwszz201511003,6,"ISTIC,PKU",伴与不伴焦虑症状抑郁症患者的自杀风险,10.3969/j.issn.1000-6729.2015.11.003,辛立敏[1];陈林[2];吉振鹏[3];张索远[2];王君[2];刘艳红[2];陈大方[3];杨甫德[2];王刚[4];方贻儒[5];陆铮[6];杨海晨[7];胡建[8];陈致宇[9];黄颐[10];孙静[11];王小平[12];李惠春[13];张晋碚[14];司天梅[15];,"[1]北京大学第六医院，北京大学精神卫生研究所，卫生部精神卫生学重点实验室 北京大学，北京100191; 北京回龙观医院，北京 100096;[2]北京回龙观医院,北京,100096;[3]北京大学医学部公共卫生学院,北京,100191;[4]首都医科大学附属北京安定医院情感障碍中心,北京,100088;[5]上海交通大学附属精神卫生中心心境障碍科,上海,200030;[6]上海同济大学附属同济医院精神医学科,上海,200065;[7]深圳精神卫生中心情感障碍科,广东深圳,518020;[8]哈尔滨医科大学附属第一医院,哈尔滨,150001;[9]杭州第七人民医院,杭州,310007;[10]西川大学华西医院心理卫生中心,成都,610041;[11]南京医科大学附属脑科医院,南京,210029;[12]湖南湘雅二院精神卫生研究所,长沙,410011;[13]浙江大学医学院附属第二医院精神科,杭州,310009;[14]中山大学附属第三医院心理科,广州,510630;[15]北京大学第六医院，北京大学精神卫生研究所，卫生部精神卫生学重点实验室 北京大学，北京100191;",中国心理卫生杂志,抑郁症;焦虑症状;自杀风险;危险因素;,R749.41  R749.72,2015,,11
zgsjjsjbzz201502001,6,"ISTIC,PKU",误诊为抑郁症的双相障碍Ⅱ型患者自杀风险的危险因素分析,10.3936/j.issn.1002-0152.2015.02.001,王君[1];陈林[2];吉振鹏[3];张索远[4];辛立敏[4];刘艳红[4];陈大方[3];杨甫德[4];王刚[5];方贻儒[6];陆铮[7];杨海晨[8];胡建[9];陈致宇[10];黄颐[11];孙静[12];王小平[13];李惠春[14];张晋碚[15];司天梅[16];,"[1]北京大学精神卫生研究所,卫生部精神卫生学重点实验室 北京大学 北京,100191;[2]北京回龙观医院; 首都医科大学附属北京安定医院情感障碍中心;[3]北京大学医学部公共卫生学院;[4]北京回龙观医院;[5]首都医科大学附属北京安定医院情感障碍中心;[6]上海交通大学附属精神卫生中心心境障碍科;[7]上海同济大学附属同济医院精神医学科;[8]深圳精神卫生中心情感障碍科;[9]哈尔滨医科大学附属第一医院;[10]杭州第七人民医院;[11]四川大学华西医院心理卫生中心;[12]南京医科大学附属脑科医院精神一科;[13]湖南湘雅二院精神卫生研究所;[14]浙江大学医学院附属第二医院精神科;[15]中山大学附属第三医院心理科;[16]北京大学精神卫生研究所，卫生部精神卫生学重点实验室 北京大学 北京 100191; 首都医科大学附属北京安定医院情感障碍中心;",中国神经精神疾病杂志,双相障碍;抑郁症;自杀风险;危险因素;误诊;,R749.4,2015,,2
zgsjjsjbzz201510007,4,"ISTIC,PKU",伴焦虑症状抑郁症患者自杀未遂的危险因素,10.3969/j.issn.1002-0152.2015.10.007,辛立敏[1];陈林[1];杨甫德[1];张索远[1];王君[1];王刚[2];方贻儒[3];陆铮[4];杨海晨[5];胡建[6];陈致宇[7];黄颐[8];孙静[9];王小平[10];李惠春[11];张晋碚[12];司天梅[13];,[1]北京回龙观医院 北京100096;[2]首都医科大学附属北京安定医院情感障碍中心;[3]上海交通大学附属精神卫生中心心境障碍科;[4]上海同济大学附属同济医院精神医学科;[5]深圳精神卫生中心情感障碍科;[6]哈尔滨医科大学附属第一医院;[7]杭州第七人民医院;[8]四川大学华西医院心理卫生中心;[9]南京医科大学附属脑科医院精神一科;[10]湖南湘雅二院精神卫生研究所;[11]浙江大学医学院附属第二医院精神科;[12]中山大学附属第三医院心理科;[13]北京大学第六医院，北京大学精神卫生研究所，卫生部精神卫生学重点实验室 北京大学;,中国神经精神疾病杂志,抑郁症;焦虑;自杀未遂;危险因素;,R749.4,2015,,10
zgddekzz201411008,3,"ISTIC,PKU",0~6岁儿童淋巴细胞免疫分型影响因素探讨,10.7499/j.issn.1008-8830.2014.11.008,陈睿[1];张修发[2];周天祥[2];陈滢[3];钟文明[4];马丽亚[1];,"[1]广东省深圳市宝安区妇幼保健院 新生儿科,广东深圳,518133;[2]广东省深圳市宝安区妇幼保健院 检验科,广东深圳,518133;[3]广东省深圳市宝安区妇幼保健院 儿童保健科,广东深圳,518133;[4]广东省深圳市宝安区妇幼保健院 信息科,广东深圳,518133;",中国当代儿科杂志,淋巴细胞免疫分型;百分比;绝对计数;儿童;,,2014,,11
syyfyx201609033,0,"ISTIC,PKU",深圳市宝安区鸡携带金黄色葡萄球菌及其耐药状况,10.3969/j.issn.1006-3110.2016.09.033,王卫云[1];刘晓玲[2];吴泰顺[3];,"[1]中山大学公共卫生学院,广东广州510080;深圳市宝安区疾病预防控制中心;[2]深圳市宝安区疾病预防控制中心;暨南大学医学院流行病学教研室;[3]深圳市宝安区疾病预防控制中心;",实用预防医学,金黄色葡萄球菌;药敏分析;耐甲氧西林金黄色葡萄球菌;,R183.3,2016,23,9
gwyx-lcsw201508005,1,"ISTIC,PKU",高毒力艰难梭菌的基因型和毒力相关基因检测,10.3969/j.issn.1673-4130.2015.08.005,肖克林[1];金萍[2];黄丽清[3];梁霞[4];周天祥[3];王中兴[3];王秦宁[5];孔繁荣[5];,"[1]深圳市宝安区妇幼保健院 中心实验室,广东深圳,518133;[2]深圳市宝安区妇幼保健院 儿科ICU,广东深圳,518133;[3]深圳市宝安区妇幼保健院 检验科,广东深圳,518133;[4]深圳市宝安区妇幼保健院 药剂科,广东深圳,518133;[5]悉尼大学韦德特米德医院感染性疾病和微生物中心，澳大利亚悉尼 2145;",国际检验医学杂志,艰难梭菌;基于荧光毛细管电泳的PCR-核糖体分型;毒素A;B;二元毒素;毒素调节基因;,,2015,,8
gwyx-lcsw201506033,1,"ISTIC,PKU",PCR-核糖体分型技术基因分型艰难梭菌,10.3969/j.issn.1673-4130.2015.06.033,肖克林[1];金萍[2];黄丽清[3];梁霞[4];周天祥[3];王中兴[3];王秦宁[5];孔繁荣[5];,"[1]深圳市宝安区妇幼保健院中心实验室,广东深圳,518133;[2]深圳市宝安区妇幼保健院儿科 ICU,广东深圳,518133;[3]深圳市宝安区妇幼保健院检验科,广东深圳,518133;[4]深圳市宝安区妇幼保健院药剂科,广东深圳,518133;[5]悉尼大学韦斯特米德医院感染性疾病和微生物中心，澳大利亚悉尼 2145;",国际检验医学杂志,艰难梭菌;核糖体型;毒素A;B;,,2015,,6
shdxxb201602005,0,"ISTIC,PKU",贵屿表层土壤中多溴联苯醚的水平与儿童健康风险,10.3969/j.issn.1007-2861.2016.01.007,娄素芳[1];王欣欣[1];姜子岸[1];陆少游[2];余应新[1];,"[1]上海大学环境与化学工程学院环境污染与健康研究所,上海,200444;[2]广东省深圳疾病预防控制中心,广州,518055;",上海大学学报（自然科学版）,多溴联苯醚;表层土壤;日暴露量;健康风险评估;,X7,2016,22,2
